Date,Rn,Rg,RH,Ta,Pa,Tbc,P
2021-03-02 16:30:0,238.6563,371.4928,51.49,17.89333,1019.92484,18.28,0.0
2021-03-02 17:00:0,108.9318,220.269,54.4,17.40333,1019.9972,17.6,0.0
2021-03-02 17:30:0,100.0741,207.9453,55.215,17.183329999999998,1020.10196,17.28,0.0
2021-03-02 18:00:0,41.19903,141.7325,58.39167,16.665,1020.28184,16.71667,0.0
2021-03-02 18:30:0,-26.21541,62.45705,63.55333,15.77,1020.3918800000001,15.711670000000002,0.0
2021-03-02 19:00:0,-65.28126999999999,10.73927,67.23167,14.723329999999999,1020.5313199999999,14.045,0.0
2021-03-02 19:30:0,-69.26945,0.0,69.49833000000001,14.135,1020.7797199999999,12.07333,0.0
2021-03-02 20:00:0,-64.60784,0.0,70.54833,13.808329999999998,1021.26464,10.42373,0.0
2021-03-02 20:30:0,-66.83964,0.0,73.12,13.03,1021.47428,9.953333,0.0
2021-03-02 21:00:0,-65.59329,0.0,76.07166,12.373330000000001,1021.6755199999999,9.846666,0.0
2021-03-02 21:30:0,-64.89455,0.0,80.32499,11.463330000000001,1021.7991199999999,9.388333,0.0
2021-03-02 22:00:0,-63.17429,0.0,84.37,10.62833,1021.75784,8.719999000000001,0.0
2021-03-02 22:30:0,-63.320040000000006,0.0,86.45666999999999,10.03167,1022.11556,8.208333,0.0
2021-03-02 23:00:0,-64.92907,0.0,83.94833,10.085,1022.4351199999999,8.416666000000001,0.0
2021-03-02 23:30:0,-64.03435,0.0,85.22832,9.731666,1022.6744,8.136666,0.0
2021-03-03 00:00:0,-61.26579,0.0,87.57166,9.158334,1022.69264,7.445,0.0
2021-03-03 00:30:0,-49.29918,0.0,88.785,8.884999,1022.69528,7.63,0.0
2021-03-03 01:00:0,-63.90744,0.0,89.85999,8.63,1022.7302,7.595,0.0
2021-03-03 01:30:0,-61.754380000000005,0.0,91.155,8.231667,1022.7275599999999,7.24,0.0
2021-03-03 02:00:0,-63.78715,0.0,92.98499,7.788333000000001,1022.68736,7.045,0.0
2021-03-03 02:30:0,-62.46951,0.0,94.12333000000001,7.45,1022.75444,6.315,0.0
2021-03-03 03:00:0,-60.572430000000004,0.0,95.30833,7.11,1022.68736,5.978333,0.0
2021-03-03 03:30:0,-56.12555,0.0,95.495,6.905,1022.66036,5.563333,0.0
2021-03-03 04:00:0,-44.78029,0.0,96.24167,6.606667,1022.75984,5.053333,0.0
2021-03-03 04:30:0,-36.66624,0.0,96.79166,6.268333,1022.73836,4.618333,0.0
2021-03-03 05:00:0,-30.236959999999996,0.0,97.13,6.118333,1022.7222800000001,4.855,0.0
2021-03-03 05:30:0,-27.09579,0.0,97.32166,5.966667,1022.8485199999999,5.24,0.0
2021-03-03 06:00:0,-23.773970000000002,0.0,97.41666,5.871666,1022.92376,4.855,0.0
2021-03-03 06:30:0,-21.14488,0.0,97.51333000000001,5.92,1022.9372,4.98,0.0
2021-03-03 07:00:0,-19.76227,0.0,97.52166,5.931666000000001,1023.0581599999999,5.521667,0.0
2021-03-03 07:30:0,-18.93158,0.0,97.50333,6.041666,1023.2247199999999,5.663333000000001,0.0
2021-03-03 08:00:0,-15.09888,3.0931319999999998,97.37666999999999,5.985,1023.36992,5.523333,0.0
2021-03-03 08:30:0,1.142732,20.85452,97.335,6.07,1023.58484,5.5,0.0
2021-03-03 09:00:0,37.970459999999996,62.36885,97.22334000000001,6.425,1023.79448,5.7933330000000005,0.0
2021-03-03 09:30:0,86.68611,118.2417,97.09333000000001,7.066667,1023.97724,6.868333,0.0
2021-03-03 10:00:0,77.3083,108.8533,96.48,7.488333,1024.05248,7.448333,0.0
2021-03-03 10:30:0,192.8955,242.9844,95.67833,8.429999,1024.00136,8.309999000000001,0.0
2021-03-03 11:00:0,366.8065,475.1858,85.93833000000001,11.43333,1023.79988,11.39322,0.0
