"Freq [GHz]","dB(S(2,1)) [] - $eps1='4' $eps2='0.3'","dB(S(2,1)) [] - $eps1='5' $eps2='0.6'","dB(S(2,1)) [] - $eps1='6' $eps2='0.9'","dB(S(2,1)) [] - $eps1='7' $eps2='1.1'","dB(S(2,1)) [] - $eps1='8' $eps2='1.4'","dB(S(2,1)) [] - $eps1='9' $eps2='1.8'","dB(S(2,1)) [] - $eps1='10' $eps2='2.1'","dB(S(2,1)) [] - $eps1='11' $eps2='2.5'","dB(S(2,1)) [] - $eps1='12' $eps2='2.8'","dB(S(2,1)) [] - $eps1='13' $eps2='3.1'","dB(S(2,1)) [] - $eps1='14' $eps2='3.6'","ang_deg_val(S(2,1)) [] - $eps1='4' $eps2='0.3'","ang_deg_val(S(2,1)) [] - $eps1='5' $eps2='0.6'","ang_deg_val(S(2,1)) [] - $eps1='6' $eps2='0.9'","ang_deg_val(S(2,1)) [] - $eps1='7' $eps2='1.1'","ang_deg_val(S(2,1)) [] - $eps1='8' $eps2='1.4'","ang_deg_val(S(2,1)) [] - $eps1='9' $eps2='1.8'","ang_deg_val(S(2,1)) [] - $eps1='10' $eps2='2.1'","ang_deg_val(S(2,1)) [] - $eps1='11' $eps2='2.5'","ang_deg_val(S(2,1)) [] - $eps1='12' $eps2='2.8'","ang_deg_val(S(2,1)) [] - $eps1='13' $eps2='3.1'","ang_deg_val(S(2,1)) [] - $eps1='14' $eps2='3.6'"
0.156751467710372,-57.9124460594717,-59.1757817069604,-59.8706989975244,-60.8509534682868,-61.4001444124851,-61.4232011328084,-61.6928541434262,-61.3690437527605,-61.5933065977886,-61.7651643118355,-60.7110420678335,175.411529820741,170.476847725122,164.945811216877,161.971417405287,158.228654297198,156.453766567516,155.069907453993,155.551696688403,155.144952943874,154.762624689575,159.41674041365
0.162426614481409,-57.5047119105993,-58.8072990510482,-59.536680219749,-60.5501635811667,-61.1290865512333,-61.1520763749536,-61.4323558760524,-61.0926658381924,-61.323318899873,-61.5008107449389,-60.3960288968022,171.234118199168,166.047267225118,160.175262151057,157.019096800911,153.035584508807,151.109750398908,149.615695073169,150.138454440642,149.690851104714,149.261623055551,154.253897693945
0.168101761252446,-57.108076595691,-58.4513482710183,-59.2166735097945,-60.2649479328328,-60.8753026951623,-60.8976334276815,-61.1891569992481,-60.8319446174702,-61.0695677330443,-61.2531631434865,-60.0949164803848,167.017784211382,161.567044166082,155.339639668397,151.984057372515,147.736230989078,145.642724050178,144.024739861881,144.595129149553,144.102454018544,143.617701159291,148.99333020607
0.173776908023483,-56.7215245671061,-58.1068924807098,-58.9096031284113,-59.9944166717036,-60.6382245109448,-60.6591326947785,-60.962705963082,-60.5858921727401,-60.8312356625512,-61.0215723422609,-59.8063170345374,162.761326037302,157.032861538886,150.432498070803,146.856102494094,142.315437569021,140.033826531237,138.27499084573,138.901335806965,138.358054377286,137.807229831771,143.622449351796
0.179452054794521,-56.3440943625657,-57.7729571386797,-58.6144900271667,-59.7378503692592,-60.4175866004969,-60.4361818172371,-60.7528899934762,-60.3538426318995,-60.607900267595,-60.8058474852439,-59.528970338188,158.463137203017,152.440704205823,145.446304462489,141.623564106734,136.756211331123,134.261511632509,132.341440791518,133.033508471888,132.432741529547,131.803276023265,138.126255434191
0.185127201565558,-55.9748711809438,-57.4486247190939,-58.3304506163788,-59.4947053422862,-60.2134362435045,-60.2287737243041,-60.5600782068116,-60.1355035053394,-60.3995910737676,-60.6063127838786,-59.261777224946,154.121199217507,147.785826229825,140.372417618759,136.273351356414,131.039975598084,128.301862157927,126.196599870368,126.965169947357,126.298792146512,125.576110131065,132.487286880054
0.190802348336595,-55.6129804166501,-57.1330306855473,-58.0566956323202,-59.2646130815931,-60.0261205388587,-60.0372963795016,-60.3851214626332,-59.930981740611,-60.2068125619879,-60.4238188206714,-59.0038351990586,149.733071210452,143.062717462195,135.201081992303,130.791042672839,125.146906189828,122.129094218595,119.811202178779,120.667450274167,119.926332824192,119.094003964777,126.685689955114
0.196477495107632,-55.2575820316582,-56.8253604623536,-57.7925276183523,-59.0473693981541,-59.8562411786829,-59.8624960427443,-60.2292847202388,-59.7407629108976,-60.0305081325126,-60.2596795083321,-58.7544688302944,145.295876707562,138.265071615007,129.921442426865,125.161021712524,119.056320583179,115.716227222671,113.155088892934,114.109856133312,113.284252307178,112.324268800363,120.699448060961
0.202152641878669,-54.9078656778705,-56.5248470088291,-57.5373351450076,-58.8429084304459,-59.7045681560185,-59.7053761144525,-60.0940898500543,-59.5656203024747,-59.8719395369583,-60.1155073336689,-58.5132445722966,140.806287868748,133.385758545814,124.521584432978,119.366651428834,112.74707095339,109.035854894367,106.19815389362,107.2612467707,106.341280453509,105.234410983606,114.504801781276
0.207827788649706,-54.5630464992064,-56.2307684756589,-57.2905815346759,-58.6512566370354,-59.5719064088512,-59.5670177164209,-59.9810549004025,-59.4064336613373,-59.732461953552,-59.9929284374576,-58.279957123907,136.260507759995,128.416803843939,118.988603641572,113.390474323323,106.19788013297,102.06091673397,98.9111936328572,100.090922472312,99.0670924184534,97.7932211503048,108.076873622228
0.213502935420744,-54.2223615498727,-55.9424452642374,-57.0517855820377,-58.4724624353167,-59.4589136010179,-59.4483166438816,-59.8913298878667,-59.2639065663143,-59.613187769011,-59.8931761980749,-58.0545734465689,131.654251455621,123.349379087296,113.308706336687,107.214422155269,99.3875622740072,94.7653548586519,91.2665002742533,92.5696971010621,91.4332646898826,89.9715956796228,101.390486017297
0.219178082191781,-53.8850667568949,-55.6592356313181,-56.8204916612474,-58.3064983644018,-59.3658723060263,-59.3496435557393,-59.8252474072704,-59.1381872284064,-59.5145517690734,-59.8165855896076,-57.8371221616876,126.982727030812,118.173806211271,107.467341134794,100.820017933632,92.2950946784938,87.1245664118105,83.2381025872358,84.6708307172162,83.4139353246367,81.7429512335007,94.4211306781775
0.224853228962818,-53.5504343367128,-55.3805288009879,-56.5962267708951,-58.1531345083469,-59.2924249307418,-59.2704485968558,-59.7818253900545,-59.0284187790765,-59.4358141023864,-59.7620365982138,-57.6275214040829,122.240617749794,112.879579376441,101.449360558393,94.1885591763955,84.8995589821382,79.1156418956961,74.8017094991399,76.3707639527114,74.9861285205981,73.0832591204454,87.1460197914734
0.230528375733855,-53.2177505435578,-55.1057343854833,-56.3784425678613,-58.0117843716487,-59.2372840116412,-59.208845726422,-59.7582755733377,-58.9322690552276,-59.3745608370565,-59.7264182522103,-57.4253478386125,117.422067036355,107.455407467682,95.2392110586612,87.3012870829539,77.1800484882598,70.7175162957407,65.9346378807522,67.6497309445193,66.1298976737774,63.9709885114366,79.5451347007119
0.236203522504892,-52.8863135867228,-54.8342668090695,-56.1664413702547,-57.8813273694748,-59.1979340300062,-59.1612242136984,-59.7495832287593,-58.8455129645788,-59.3262810164247,-59.704201841117,-57.2295632378713,112.520668042552,101.889280032601,88.8211520604117,80.1395727370289,69.1157366890613,61.911333376299,56.6162633624146,58.4925117104404,56.8286872377316,54.3875494712402,71.6021969794676
0.24187866927593,-52.5554315018682,-54.5655234154531,-55.95928652158,-57.7599156091164,-59.1703449996621,-59.1219452974423,-59.7482341563079,-58.7617594884289,-59.2841119072552,-59.6872231779339,-57.0382312343701,107.529459838887,96.1685591819247,82.1795094773362,72.6851879332914,60.6864031033372,52.6814858654275,46.829730452095,48.8897562644554,47.0705294729999,44.3190511827304,63.3055257647516
0.247553816046967,-52.2244197063716,-54.298855061129,-55.7556994689865,-57.6447770059392,-59.1487258235171,-59.0831932717176,-59.7441797330657,-58.672427485366,-59.238851220746,-59.6647831333428,-56.8482728787376,102.440932432299,90.2800998824575,75.298977528182,64.9207704821667,51.8737877537782,43.0178663273506,36.5656612978962,38.8403673665413,36.8507472003083,33.7601679329647,54.6488096865549
0.253228962818004,-51.8925979122467,-54.0335283108089,-55.5539484526134,-57.5320325950308,-59.1253606748149,-59.0350643128418,-59.7251523063702,-58.5670750843775,-59.1793361305798,-59.6241827144482,-56.6553215604211,97.2470428774514,84.2104015143435,68.1649939308266,56.8306321592169,42.6641506004676,32.9197424357017,25.8282521292543,28.3552403840435,26.1765771117897,22.7204499445298,45.6318905923261
0.258904109589041,-51.5592860229025,-53.7686789058683,-55.3517368812024,-57.4165539597429,-59.0905962728422,-58.96598857567,-59.677457157136,-58.4341655419913,-59.093274431988,-59.5517959371998,-56.4537412155493,91.939244760852,77.9457946434008,60.7642260914642,48.4020755228792,33.0522839598192,22.4012555201014,14.643319716638,17.4621397012577,15.0734558906532,11.2324269225797,36.2616937650924
0.264579256360078,-51.2237986106534,-53.5032570252563,-55.1461032603302,-57.2918972405692,-59.0330764074859,-58.8635724357825,-59.5873315525334,-58.2622882001236,-58.9685581025654,-59.434708003313,-56.2368619182117,86.508533224342,71.472668988848,53.0852156419457,39.627358980361,23.0468921790206,11.4978007903294,3.06661229969513,6.21069578455857,3.59168875436512,-0.640509863367607,26.5534029175258
0.270254403131115,-50.8854375744944,-53.2359660508477,-54.9333488077474,-57.1503616497337,-58.9403330896085,-58.7158843527082,-59.4428187180998,-58.0417284789797,-58.794962782137,-59.2627631673076,-55.9974600596962,80.9455074697635,64.7777513925541,45.1192295823914,30.5063483145949,12.6766704867117,0.271631438216048,-8.81053402955877,-5.3242594707528,-8.18877843263643,-12.7995862229617,16.5318424953754
0.275929549902153,-50.5434826288675,-52.9651981109324,-54.7090131283869,-56.9832275683381,-58.7998073420691,-58.5130621657582,-59.2358406449857,-57.766108259081,-58.5659396898098,-59.0305960541944,-55.7284647838539,75.2404523674979,57.8484458811629,36.8613497350813,21.0496924033579,1.99566151998132,-11.1856305723842,-20.8614512472589,-17.0430001270267,-20.1580507265492,-25.1125319953099,6.23281364656745
0.28160469667319,-50.1971793875615,-52.6889716048864,-54.4679214186795,-56.781222225932,-58.6002542173549,-58.2489156547793,-58.963876059216,-57.4336706733638,-58.2800201363185,-58.7390073138311,-55.4238121934944,69.3834403367883,50.6732506200573,28.3117896870803,11.282064766944,-8.91415159237809,-22.7556683888754,-32.9321306244017,-28.8259914666186,-32.1819485780541,-37.4229309481499,-4.29608220436934
0.287279843444227,-49.8457250031621,-52.4048781351084,-54.2043265877132,-56.5352272551621,-58.3332937045527,-57.9220436784702,-58.6305800133188,-57.0477766489731,-57.9413251104523,-58.395100621779,-55.0793073291477,63.3644541810242,43.2422669548795,19.4773543924098,1.24468678140051,-19.9450171852645,-34.3019283122977,-44.8556762751594,-40.543096531625,-44.1128467556306,-49.564793621854,-14.9956756153905
0.292954990215264,-49.4882516126304,-52.1100485906842,-53.9121635773362,-56.2371753446288,-57.9946867947381,-57.5360244031435,-58.2449744760284,-56.6163810106114,-57.5589001884609,-58.0109927017547,-54.6933144791761,57.1735309315005,35.5478113297294,10.372857115731,-9.0038566692052,-30.971218737525,-45.6821607742813,-56.46887406494,-52.0644196337914,-55.8025214439468,-61.3775243192101,-25.7968916834601
0.298630136986301,-49.1238082310384,-51.8011501485328,-53.5854181882869,-55.8809946306565,-57.5848841321626,-57.0985177608084,-57.8193737642198,-56.1505881781893,-57.1449915585402,-57.6014252330372,-54.2671043661939,50.8009261355914,27.5851286745729,1.02220346177516,-19.3893823680813,-41.8613404405147,-56.7615582295361,-67.6256797585995,-63.2696180666804,-67.1129856762404,-72.716456812698,-36.623807085711
0.304305283757339,-48.751342227088,-51.4744270117514,-53.2185880269239,-55.4633871488337,-57.108597943077,-56.619504078432,-57.3666379532967,-55.662663052328,-56.7127011164968,-57.1809010370929,-53.8047531642145,44.2372972195225,19.3531832374359,-8.54121471553303,-29.826767003251,-52.4919335757752,-67.4229706258813,-78.2044780368827,-74.0534265243594,-77.9225508308698,-83.4567025090718,-47.3975781386699
0.309980430528376,-48.3696820830386,-51.1257968447764,-52.8071824482797,-54.9842221305067,-56.5735060584013,-56.1091424964667,-56.8974199304616,-55.1639414805754,-56.2735182179946,-56.7608808710048,-53.3125952797116,37.4739036733187,10.8554692374725,-18.2751486939022,-40.2269195276599,-62.7590247683361,-77.5724177102135,-88.1094131926663,-84.3270022564491,-88.1268393833039,-93.4914200364692,-58.0403998571504
0.315655577299413,-47.9775237473782,-50.7510109797332,-52.3481812477737,-54.4464132992339,-55.9885013122739,-55.5757455344994,-56.4178501938407,-54.6629520751907,-55.8350447502826,-56.3472637070093,-52.7983365288342,30.5028205559103,2.10074245967065,-28.1303261740657,-50.5046594120376,-72.5851470687324,-87.1404403361981,-97.268859434588,-94.0164388057526,-97.6368005137142,-102.728146570556,-68.4786804844546
0.32133072407045,-47.5734234613282,-50.3458786900369,-51.8403616414716,-53.85530348685,-55.3619878712863,-55.0242032165869,-55.9278581882206,-54.1638596822005,-55.3990007159582,-55.9381372344736,-52.2699928339589,23.3171601979726,-6.89646541587718,-38.0534013301864,-60.5857815577534,-81.9216568615635,-96.0814492070385,-105.635205791195,-103.060818359268,-106.377251192477,-111.088241220749,-78.6449582974083
0.327005870841487,-47.1558003774297,-49.9065441766626,-51.2844200155843,-53.2177260141239,-54.7006050258473,-54.4550183873942,-55.4202929694568,-53.6652233118437,-54.9595409589714,-55.521900466501,-51.7348134783845,15.9112947016157,-16.115709876826,-47.9906322454689,-70.4119769888838,-90.7477285580601,-104.373623592123,-113.189674778579,-111.412557123963,-114.290182634184,-118.515130104018,-88.4785695869503
0.332681017612524,-46.7229524660915,-49.4297910339733,-50.6828582680237,-52.5409818710121,-54.0085567997743,-53.8640514470204,-54.8812228021734,-53.1591309998667,-54.5021834278909,-55.076472697934,-51.1982922341065,8.28106890890915,-25.5310204149216,-57.8916823742555,-79.9431243999498,-99.0679154521846,-112.021237566813,-119.953908833286,-119.04275914665,-121.346956757874,-124.996142678123,-97.9255140960647
0.338356164383562,-46.2730889753628,-48.9133364355628,-50.0396600637695,-51.8319479090383,-53.2875607108099,-53.2431149412702,-54.2920512446417,-52.6310572558709,-54.0042379687126,-54.5712238010216,-50.6633002957993,0.423989952354709,-35.1118955638021,-67.7129149695919,-89.1573049852933,-106.909678678605,-119.059800471516,-126.006014114035,-125.953488648558,-127.571229940715,-130.597280422279,-106.938286374577
0.344031311154599,-45.8043819422009,-48.3560709098533,-49.3598288907253,-51.0964491360809,-52.5373371461294,-52.5815878580918,-53.6339117189845,-52.0611678687317,-53.4381382982722,-53.9735222848883,-50.129332201855,-7.66062420188932,-44.8248833666242,-77.4197195993447,-98.0493681599011,-114.32135354521,-125.562255685329,-131.49287327808,-132.196176671267,-133.067650921868,-135.497331567856,-115.476691740599
0.349706457925636,-45.3150378599907,-47.7582034504117,-48.6488812086443,-50.3389389047643,-51.7565127011699,-51.8690591830569,-52.8937409779177,-51.4278874512648,-52.7785496852795,-53.2597496474486,-49.591876594965,-15.9715578940915,-54.6355966016459,-86.9876959984721,-106.628917353541,-121.370139920435,-131.642219099465,-136.626384167819,-137.889909828135,-138.040412657328,-139.993064031177,-123.510884033673
