"Freq [GHz]","dB(S(2,1)) [] - $eps1='1' $eps2='0'","dB(S(2,1)) [] - $eps1='2' $eps2='0.1'","dB(S(2,1)) [] - $eps1='3' $eps2='0.2'","dB(S(2,1)) [] - $eps1='4' $eps2='0.3'","dB(S(2,1)) [] - $eps1='5' $eps2='0.6'","dB(S(2,1)) [] - $eps1='6' $eps2='0.9'","dB(S(2,1)) [] - $eps1='7' $eps2='1.1'","dB(S(2,1)) [] - $eps1='8' $eps2='1.4'","dB(S(2,1)) [] - $eps1='9' $eps2='1.8'","dB(S(2,1)) [] - $eps1='10' $eps2='2.1'","dB(S(2,1)) [] - $eps1='11' $eps2='2.5'","dB(S(2,1)) [] - $eps1='12' $eps2='2.8'","arg(S(2,1)) [deg] - $eps1='1' $eps2='0'","arg(S(2,1)) [deg] - $eps1='2' $eps2='0.1'","arg(S(2,1)) [deg] - $eps1='3' $eps2='0.2'","arg(S(2,1)) [deg] - $eps1='4' $eps2='0.3'","arg(S(2,1)) [deg] - $eps1='5' $eps2='0.6'","arg(S(2,1)) [deg] - $eps1='6' $eps2='0.9'","arg(S(2,1)) [deg] - $eps1='7' $eps2='1.1'","arg(S(2,1)) [deg] - $eps1='8' $eps2='1.4'","arg(S(2,1)) [deg] - $eps1='9' $eps2='1.8'","arg(S(2,1)) [deg] - $eps1='10' $eps2='2.1'","arg(S(2,1)) [deg] - $eps1='11' $eps2='2.5'","arg(S(2,1)) [deg] - $eps1='12' $eps2='2.8'"
1.60958904109589,-23.5159083050069,-30.0249884170678,-26.4609643582645,-24.3076602111497,-31.189747698397,-37.0331807583336,-39.6264009912096,-43.6447125917989,-43.5545673819674,-40.9466828820106,-31.0197289893421,-27.8519391248073,76.2746474886304,68.5890133606379,71.6683815690655,179.326749340973,-31.2129342797921,144.327729655379,-31.7346846127404,171.482756687495,38.7660193140505,-76.9617870694011,-90.2438491063715,-144.129854758193
1.61526418786693,-23.3797287389991,-29.718346262273,-26.5055195894025,-24.3607048215747,-31.2783705321889,-37.1408731417645,-39.736444688115,-43.7814465433759,-43.696325371209,-41.1010022353612,-31.1424843415114,-27.955803451827,69.6490259668037,60.6214280540418,62.7718366912737,168.971700679074,-41.9548176174811,133.037237540361,-43.5531587519851,159.173190767564,26.0107602921588,-90.1048011223725,-103.711145569969,-157.909656181387
1.62093933463796,-23.2432333101,-29.4291993175959,-26.5471476933721,-24.4231625013752,-31.3679271007136,-37.2496860273948,-39.8477114950944,-43.9190381148683,-43.8387486706426,-41.2568948700198,-31.266060732763,-28.0623322335337,62.9907009738536,52.5060737414781,53.8888696883606,158.621206753061,-52.692903215606,121.74932985503,-55.3676790697602,146.86285769867,13.2606792613122,-103.248005674234,-117.184731215552,-171.696553709368
1.626614481409,-23.1066836394471,-29.1598879874805,-26.5855144795334,-24.4947318336087,-31.4585580319643,-37.3596796047105,-39.9602634955068,-44.0575109388827,-43.9819387236771,-41.4144633355446,-31.3907629433593,-28.1715633077853,56.2996218814027,44.2741104104661,45.0185702615513,148.29049039586,-63.4275594719963,110.464423360894,-67.1780105652488,134.55205950511,0.516274009272215,-116.391513472614,-130.665053051506,174.513959688516
1.63228962818004,-22.9703385162305,-28.9115244696134,-26.6200455764177,-24.5744366738165,-31.5504260392327,-37.4709044321464,-40.0741600874914,-44.1968865569909,-44.125992891886,-41.5738057733129,-31.5169040056864,-28.2832824404809,49.5758208401421,35.956642291486,36.158509600691,137.993730684477,-74.1588555815788,99.1829885244821,-78.9838900052139,122.241140036736,-12.2219462974065,-129.535354117087,-144.15196499764,160.7258055809
1.63796477495108,-22.8344535700987,-28.6841711128015,-26.6501254254994,-24.6606782466607,-31.6437005316367,-37.5834007565123,-40.1894577144646,-44.3371843736672,-44.271004408492,-41.7350129264208,-31.6447737960241,-28.3971012533573,42.8194111273693,27.5829708119461,27.3038377697044,127.742652602471,-84.8865262930423,87.9055340808564,-90.785024964096,109.930486385495,-24.9534680922493,-142.679473229059,-157.644728472008,146.941757361883
1.64363992172211,-22.6992808725025,-28.4770447490796,-26.6753243444199,-24.7513645284493,-31.7385414641497,-37.697198479036,-40.3062094713035,-44.4784214657226,-44.4170625009092,-41.8981653508971,-31.7746087422025,-28.5125548311071,36.0305853813971,19.1794576242763,18.4473248376089,117.545191292879,-95.6099718793216,76.6325918586818,-102.581092788846,97.6205302862153,-37.6777789448836,-155.82373719592,-171.142096146604,133.163216296925
1.64931506849315,-22.5650684925347,-28.2887165470333,-26.6955720157484,-24.8441170411516,-31.8350842284839,-37.8123177064626,-40.4244645822677,-44.6206122487244,-44.5642525962697,-42.0633310867807,-31.9065686628982,-28.6291895469405,29.2096134636498,10.7688986588502,9.58017471510285,107.404447018789,-106.328292266781,65.3647030682276,-114.371739817826,85.3117491458874,-50.3943714635819,-168.967942635548,175.357527378251,119.390291120503
1.65499021526419,-22.4320600451566,-28.117288765975,-26.7112342881501,-24.9365392404842,-31.9334271685283,-37.928769775812,-40.5442677635733,-44.7637680218845,-44.7126565243459,-42.2305639845686,-32.0407257185893,-28.746624654236,22.3568397887124,2.37027608335152,0.693225974931896,97.3181646891184,-117.040350461151,54.1024070621397,-126.156581183871,73.0046663542406,-63.102745583081,177.888170781415,161.855876307399,105.622055549129
1.66066536203522,-22.3004942723405,-27.9605401736134,-26.7230910978915,-25.0265113255695,-32.0336229244116,-38.0465586015479,-40.6656585009594,-44.9078964265907,-44.8623526434669,-42.3999027945647,-32.1770675069674,-28.8645874409456,15.4726800470153,-6.00124855574665,-8.22186548078664,87.2789300731625,-127.744857551268,42.8462332978386,-137.935201487062,60.6998506299695,-75.8024094462573,164.744905827964,148.354608308725,91.8568535465855
1.66634050880626,-22.1706047071483,-27.8160400666168,-26.7322422718257,-25.1124601415231,-32.1356743362314,-38.1656821681654,-40.7886702867454,-45.0530008640634,-45.0134158339714,-42.5713710274482,-32.3155126925005,-28.9829314254598,8.55761735935561,-14.3342205296117,-17.1717576025346,77.2751491755765,-138.440469789581,31.5966968704167,-149.707156544755,48.397914234555,-88.492879228029,151.602593290802,134.855125690457,78.0925836559337
1.6720156555773,-22.0426194642895,-27.6812366885824,-26.73998098594,-25.1935497999428,-32.2395351439563,-38.2861339859281,-40.9133298705966,-45.1990799209017,-45.1659173275302,-42.744977504546,-32.455934653975,-29.1016464112638,1.61219802060445,-22.6207500496279,-26.1610042803397,67.2926864667797,-149.12588761496,20.354297591069,-161.471976313033,36.0995100102552,-101.173678332302,138.461579206336,121.358462242569,64.3269646611676
1.67769080234834,-21.9167611908512,-27.5535294905182,-26.7476742325942,-25.2697544899005,-32.3451152436564,-38.4079043417707,-41.0396565801245,-45.3461268496843,-45.3199243658406,-42.9207174345276,-32.5981877214532,-29.2208619091208,-5.36297291864803,-30.8564005921453,-35.1920750371513,57.3168551659362,-159.799946814407,9.11952219640226,-173.22916893884,23.8053272927304,-113.844336414009,125.3222149568,107.865245000144,50.5578151695929
1.68336594911937,-21.7932472104837,-27.4303362490763,-26.7566803819758,-25.3418050656337,-32.4522898437524,-38.530981211222,-41.1676617616034,-45.4941291428599,-45.4754997042212,-43.0985738235335,-32.7421310134736,-29.3408388403595,-12.3672358399471,-39.0401284233228,-44.2656847572703,47.3343654913605,-170.461693177077,-2.10715105460987,175.021774223641,11.5160868581566,-126.504388639687,112.1848509571,94.3757214201267,36.7833583986521
1.68904109589041,-21.6722898606308,-27.3091655540231,-26.7683196011056,-25.4110321920467,-32.560911522575,-38.655350745215,-41.2973483796758,-45.6430682306547,-45.6327009938859,-43.2785190090287,-32.8876471786615,-29.4619437949193,-19.3998801192629,-47.1742568800203,-53.3812352104525,37.3348834091028,178.889566228061,-13.3252463645257,163.281372915421,-0.767464897758079,-139.153375525384,99.0498340828247,80.8898330138212,23.0025176547744
