Freq [GHz],"dB(S(1,1))_1 [] - $eps1='1' $eps2='0'","dB(S(1,1))_1 [] - $eps1='2' $eps2='0.1'","dB(S(1,1))_1 [] - $eps1='3' $eps2='0.2'","dB(S(1,1))_1 [] - $eps1='4' $eps2='0.3'","dB(S(1,1))_1 [] - $eps1='5' $eps2='0.6'","dB(S(1,1))_1 [] - $eps1='6' $eps2='0.9'","dB(S(1,1))_1 [] - $eps1='7' $eps2='1.1'","dB(S(1,1))_1 [] - $eps1='8' $eps2='1.4'","arg(S(1,1)) [deg] - $eps1='1' $eps2='0'","arg(S(1,1)) [deg] - $eps1='2' $eps2='0.1'","arg(S(1,1)) [deg] - $eps1='3' $eps2='0.2'","arg(S(1,1)) [deg] - $eps1='4' $eps2='0.3'","arg(S(1,1)) [deg] - $eps1='5' $eps2='0.6'","arg(S(1,1)) [deg] - $eps1='6' $eps2='0.9'","arg(S(1,1)) [deg] - $eps1='7' $eps2='1.1'","arg(S(1,1)) [deg] - $eps1='8' $eps2='1.4'"
0.712915851272016,-4.39363877752421,-3.68667078953518,-3.38391498368859,-3.16773112850703,-2.97759372144317,-2.91099815407434,-2.83835541313937,-2.7466387871913,-147.149008592484,-160.832295281525,-167.089324858358,-170.080185138012,-172.898985132422,-173.917395837552,-174.62840133075,-175.463973452405
0.718590998043053,-4.20028386819126,-3.56489415281321,-3.30102430300997,-3.12127700501441,-2.92825943110112,-2.85450091256571,-2.78890627480409,-2.70240577688469,-150.02451501231,-162.974699974768,-169.011734646449,-171.89846316144,-174.752228678177,-175.741836131146,-176.389898947257,-177.263944877873
0.72426614481409,-4.0261615566954,-3.45187412348274,-3.22151501530194,-3.07276923559808,-2.88360761031491,-2.80441974724994,-2.74208248419699,-2.66346008307758,-152.785623247541,-165.083773978779,-170.897009515195,-173.64149138514,-176.553614464511,-177.551185126772,-178.136929916043,-179.042388902314
0.729941291585127,-3.86887794028335,-3.34745778939843,-3.14487920028563,-3.01979263854147,-2.84153787628358,-2.7602621084222,-2.69795621291713,-2.62895354225222,-155.443705541717,-167.163758728415,-172.753765554302,-175.333527769378,-178.310455663081,-179.341758869459,-179.874531156923,179.202466689726
0.735616438356164,-3.72638162862087,-3.25149668379277,-3.07074418834595,-2.96125461688133,-2.8005933403366,-2.72131124518623,-2.65678833471979,-2.59794812821294,-158.00893209145,-169.216970023019,-174.589824913609,-177.002266421313,179.966613869774,178.888834997379,178.393763894854,177.470356367811
0.741291585127202,-3.59691444798326,-3.16377811139028,-2.99885803242476,-2.89764085769274,-2.76005098110969,-2.68675362253816,-2.61891674687229,-2.56956560045545,-160.490450331085,-171.244242558296,-176.413017262616,-178.675638809176,178.265817504049,177.14134487068,176.666101344246,175.758942205955
0.746966731898239,-3.47896980935412,-3.08397750516303,-2.92920735153077,-2.83100927614186,-2.71985347920929,-2.65579380745362,-2.58465428358355,-2.54311828954777,-162.896520049684,-173.245419089008,-178.23167109039,179.622857410534,176.576209546334,175.414940330989,174.942174643077,174.064222727982
0.752641878669276,-3.37125761110252,-3.01163296250622,-2.86218912339228,-2.76453537876958,-2.68043827593872,-2.62773385979079,-2.55421300618406,-2.51819219435965,-165.234618409357,-175.219871424939,179.945899649111,177.87859296434,174.888990657274,173.707535903451,173.222880646858,172.381260397127
0.758317025440313,-3.27267394138396,-2.94614471490239,-2.79868888252691,-2.70174219803407,-2.6425431827499,-2.60201608972653,-2.52765756245896,-2.49467000524681,-167.511521834219,-177.167027994906,178.112945821118,176.087749785502,173.198107061614,172.016179647287,171.50987866956,170.705031830466
0.76399217221135,-3.18227519314795,-2.88680191729135,-2.73996298146375,-2.64576600220094,-2.60703413834872,-2.57824199933363,-2.50488491772566,-2.4726967441029,-169.733373197711,-179.086860836199,176.266074137176,174.256208061739,171.500344193922,170.337414622693,169.805117022351,169.031212861926
0.769667318982387,-3.09925550275861,-2.83283599819229,-2.68735479326351,-2.59890023886833,-2.57476438949447,-2.55617847739219,-2.48562830655643,-2.45260172023744,-171.905736640605,179.019735945416,174.406243127096,172.396660995088,169.795153047356,168.667609504016,168.110362387658,167.356757920697
0.775342465753425,-3.0229270991853,-2.78349409356207,-2.64197651057941,-2.56242583417662,-2.54645415810093,-2.53575284154882,-2.4694859755581,-2.43479527269684,-174.033645156561,177.150751549191,172.538472683583,170.525523935869,168.084314551882,167.003288109849,166.426769609564,165.680191664617
0.781017612524462,-2.95270302911269,-2.73811942218926,-2.60448376823625,-2.53661300364256,-2.52258532335722,-2.51703209294047,-2.45597349980505,-2.41966087213214,-176.121642724688,175.30310311239,170.670542946262,168.660416240621,166.371423130849,165.34144937417,164.754554267221,164.001584193525
0.786692759295499,-2.88808199765023,-2.69622093603254,-2.57499334591877,-2.52078872276948,-2.50331998465913,-2.50018390291565,-2.44459278626954,-2.40746264918621,-178.173822331443,173.472926832189,168.81133782639,166.818230626818,164.661136076799,163.679824721824,163.092837466853,162.322232902595
0.792367906066536,-2.82863500173813,-2.65751505281385,-2.55312145601895,-2.5134244182171,-2.48846524299128,-2.48542452321089,-2.43490423290371,-2.39828563082027,179.806138051062,171.656057638954,166.969391732936,165.013473945325,162.958204908672,162.017006015456,161.439705282763,160.64412807389
0.798043052837573,-2.77399356162332,-2.62192905329038,-2.53808996423193,-2.51225699251473,-2.47750623716606,-2.47296586164024,-2.42658616356101,-2.39201900923728,177.814941309873,169.848584225808,165.151904681427,163.256577259657,161.266442153839,160.35241395894,159.792467465106,158.969323607774
0.80371819960861,-2.72383953720654,-2.58956645116285,-2.52885109553174,-2.51449674055542,-2.46971332024864,-2.46297369100416,-2.41946943651294,-2.38838327461524,175.849637011429,168.047346535147,163.364249190021,161.552108294811,159.587882784138,158.686132320117,158.148048853816,157.299351692827
0.809393346379648,-2.67789587895654,-2.56064504795371,-2.52419532057194,-2.51718617733181,-2.46429838168429,-2.45554391955789,-2.41354279033914,-2.38699171685429,173.907590797231,166.250269142016,161.609862342883,159.897232440088,157.922417765503,157.018676395796,156.503418049299,155.634805478697
0.815068493150685,-2.63591924576825,-2.53542408561996,-2.52282073863994,-2.51772593820899,-2.46056980621807,-2.45069563521526,-2.40893199333914,-2.38742945076945,171.986450072961,164.456482814689,159.890344924678,158.281266111042,156.268015332096,155.350764957227,154.855969101575,153.975164145936
0.820743639921722,-2.59769317234609,-2.51413626604921,-2.52335852143843,-2.51445299428638,-2.45803520533247,-2.44837458521785,-2.40585992247622,-2.38933091131666,170.084113785099,162.66624988117,158.205526504867,156.687333524179,154.621386160896,153.68313123672,153.203802124743,152.318869475653
0.826418786692759,-2.56302253978491,-2.49693497009777,-2.52437668226387,-2.50701028375686,-2.45642887038168,-2.44846185869833,-2.40459566989353,-2.39243972072601,168.198702391503,160.880752230851,156.553233982663,155.096309986774,152.978777932492,152.016374482742,151.545873296521,150.663604937789
0.832093933463796,-2.53172905086015,-2.48386004612361,-2.52442094299178,-2.49627515609286,-2.45568161277648,-2.45078552128081,-2.4054000923731,-2.3966417319582,166.328527674327,159.101812328506,154.928645478204,153.491561883338,151.336592298709,150.350831012808,149.88200613385,149.006694079472
0.837769080234834,-2.50364748109388,-2.47481993259891,-2.5221665742765,-2.48388690875983,-2.45586771231835,-2.45513715386825,-2.40847572220101,-2.40196833506204,164.472065285668,157.33160344114,153.323515955938,151.862144164979,149.691719214626,148.686462964626,148.212763189529,147.345528143681
