"Freq [GHz]","dB(S(1,1)) [] - $eps1='4' $eps2='0.3'","dB(S(1,1)) [] - $eps1='4.5' $eps2='0.45'","dB(S(1,1)) [] - $eps1='5' $eps2='0.6'","dB(S(1,1)) [] - $eps1='5.5' $eps2='0.75'","dB(S(1,1)) [] - $eps1='6' $eps2='0.9'","dB(S(1,1)) [] - $eps1='6.5' $eps2='1'","dB(S(1,1)) [] - $eps1='7' $eps2='1.1'","dB(S(1,1)) [] - $eps1='7.5' $eps2='1.25'","dB(S(1,1)) [] - $eps1='8' $eps2='1.4'","dB(S(1,1)) [] - $eps1='8.5' $eps2='1.6'","dB(S(1,1)) [] - $eps1='9' $eps2='1.8'","dB(S(1,1)) [] - $eps1='9.5' $eps2='1.95'","dB(S(1,1)) [] - $eps1='10' $eps2='2.1'","dB(S(1,1)) [] - $eps1='10.5' $eps2='2.3'","dB(S(1,1)) [] - $eps1='11' $eps2='2.5'","dB(S(1,1)) [] - $eps1='11.5' $eps2='2.65'","dB(S(1,1)) [] - $eps1='12' $eps2='2.8'","dB(S(1,1)) [] - $eps1='12.5' $eps2='2.95'","dB(S(1,1)) [] - $eps1='13.5' $eps2='3.25'","arg(S(1,1)) [deg] - $eps1='4' $eps2='0.3'","arg(S(1,1)) [deg] - $eps1='4.5' $eps2='0.45'","arg(S(1,1)) [deg] - $eps1='5' $eps2='0.6'","arg(S(1,1)) [deg] - $eps1='5.5' $eps2='0.75'","arg(S(1,1)) [deg] - $eps1='6' $eps2='0.9'","arg(S(1,1)) [deg] - $eps1='6.5' $eps2='1'","arg(S(1,1)) [deg] - $eps1='7' $eps2='1.1'","arg(S(1,1)) [deg] - $eps1='7.5' $eps2='1.25'","arg(S(1,1)) [deg] - $eps1='8' $eps2='1.4'","arg(S(1,1)) [deg] - $eps1='8.5' $eps2='1.6'","arg(S(1,1)) [deg] - $eps1='9' $eps2='1.8'","arg(S(1,1)) [deg] - $eps1='9.5' $eps2='1.95'","arg(S(1,1)) [deg] - $eps1='10' $eps2='2.1'","arg(S(1,1)) [deg] - $eps1='10.5' $eps2='2.3'","arg(S(1,1)) [deg] - $eps1='11' $eps2='2.5'","arg(S(1,1)) [deg] - $eps1='11.5' $eps2='2.65'","arg(S(1,1)) [deg] - $eps1='12' $eps2='2.8'","arg(S(1,1)) [deg] - $eps1='12.5' $eps2='2.95'","arg(S(1,1)) [deg] - $eps1='13.5' $eps2='3.25'"
1.847945205,-10.13203895,-9.775144571,-9.595141456,-9.517588855,-8.191468878,-9.421853729,-9.376627524,-9.036124983,-8.943477772,-8.766463136,-8.684042459,-8.656924013,-8.744094144,-8.430466817,-8.552200603,-8.540711936,-8.52151227,-8.504779363,-8.439312932,-87.76792166,-90.38060241,-84.2643269,-86.93400941,-127.223938,-86.00991725,-84.07602666,-84.76021313,-85.60222127,-88.86243266,-86.2116325,-86.05338605,-84.95156218,-84.88730248,-84.48539727,-82.59183033,-82.94313653,-82.27918994,-82.48805142
1.853620352,-10.04950391,-9.704112222,-9.541297839,-9.454695462,-8.122109587,-9.365909787,-9.324893359,-8.987312568,-8.893280396,-8.712020372,-8.638914417,-8.611700582,-8.698228916,-8.387456555,-8.510878019,-8.500332513,-8.477648712,-8.463819154,-8.397594735,-90.55344394,-93.15414117,-87.07005126,-89.75811987,-129.7018774,-88.85415922,-86.94775061,-87.57563169,-88.42416016,-91.64940954,-89.0256344,-88.87944803,-87.82001328,-87.69923347,-87.35099788,-85.46854363,-85.83180412,-85.17456097,-85.38645845
1.859295499,-9.968495165,-9.635039452,-9.488713075,-9.393516006,-8.056669528,-9.311173268,-9.27413465,-8.939712868,-8.844244057,-8.658972153,-8.594948423,-8.567719524,-8.65335885,-8.345623296,-8.47040827,-8.460785527,-8.434812447,-8.42402218,-8.356914053,-93.30829978,-95.89960101,-89.85144103,-92.55555502,-132.1569721,-91.67095345,-89.79421697,-90.36713142,-91.22141592,-94.41029282,-91.81650368,-91.68227904,-90.66443471,-90.48943201,-90.19550827,-88.32515485,-88.69997972,-88.04949247,-88.26239615
1.864970646,-9.889184082,-9.568070048,-9.437571934,-9.334222781,-7.995156833,-9.257788677,-9.224527974,-8.893479824,-8.796511167,-8.607462838,-8.552296675,-8.52512096,-8.609643938,-8.305113045,-8.430959624,-8.422244433,-8.393180427,-8.385543588,-8.317398009,-96.03372201,-98.6176199,-92.60897287,-95.32677525,-134.5903921,-94.46088407,-92.61585417,-93.13507542,-93.99443602,-97.14572952,-94.58463039,-94.4622551,-93.48518502,-93.25821361,-93.01920341,-91.16180678,-91.54758866,-90.90375579,-91.11578894
1.870645793,-9.811739259,-9.503336595,-9.388054306,-9.276976994,-7.937575746,-9.205894881,-9.176244167,-8.848760533,-8.750218948,-8.557631197,-8.51110611,-8.48403952,-8.567238664,-8.266066796,-8.39269656,-8.384875882,-8.352915151,-8.348521529,-8.279161298,-98.73098436,-101.3088853,-95.34317463,-98.07229579,-137.0033095,-97.22462469,-95.41316484,-95.87989725,-96.74374545,-99.85642699,-97.33046872,-97.21982558,-96.28269813,-96.00594978,-95.82240471,-93.97868472,-94.37461114,-93.73720688,-93.94669586
1.876320939,-9.736326754,-9.440961005,-9.340334877,-9.221928922,-7.883927694,-9.155625666,-9.129448205,-8.805695376,-8.705499682,-8.509610643,-8.471518394,-8.444604548,-8.526291898,-8.228620224,-8.355778731,-8.348838612,-8.314164247,-8.313077723,-8.242308432,-101.4013859,-103.9741303,-98.0546172,-100.7926826,-139.3968988,-99.96292956,-98.18671839,-98.60209638,-99.46993993,-102.5431457,-100.0545318,-99.95550777,-99.05747706,-98.73306379,-98.60547474,-96.77601706,-97.18109183,-96.54979861,-96.75531346
1.881996086,-9.663110228,-9.381055152,-9.294582852,-9.169218215,-7.834212327,-9.107110311,-9.084299173,-8.764418253,-8.662481027,-8.463529509,-8.433669993,-8.406940361,-8.486946868,-8.192903459,-8.320360014,-8.314282617,-8.277060629,-8.279318612,-8.206936212,-104.0462368,-106.6141301,-100.7439073,-103.4885486,-141.7723389,-102.6766248,-100.937144,-101.302234,-102.1736795,-105.2066922,-102.7573867,-102.6698816,-101.8100881,-101.4400272,-101.3688135,-99.55407716,-99.96714941,-99.34159155,-99.54197469
1.887671233,-9.592250997,-9.323721591,-9.250961726,-9.118974306,-7.788428509,-9.060474195,-9.040950308,-8.7250569,-8.621286366,-8.419511342,-8.397692303,-8.371166557,-8.4493412,-8.159040961,-8.286587686,-8.281348639,-8.241723188,-8.247337033,-8.173136256,-106.6668462,-109.2296993,-103.4116809,-106.1605511,-144.130814,-105.3665997,-103.6651243,-103.9809287,-104.855682,-107.8479135,-105.4396498,-105.3635846,-104.5411554,-104.1273569,-104.1128563,-102.3131862,-102.7329854,-102.1127627,-102.3071438
1.89334638,-9.523907997,-9.269054353,-9.20962908,-9.071316935,-7.746575279,-9.015839384,-8.999549121,-8.687733295,-8.582035174,-8.377675231,-8.363711854,-8.337398359,-8.413607043,-8.127151484,-8.254601759,-8.250167974,-8.208257961,-8.21721431,-8.140997434,-109.2645108,-111.8216895,-106.0585977,-108.8093891,-146.4735141,-108.0337988,-106.3713892,-106.6388529,-107.5167173,-110.4676906,-108.1019829,-108.037307,-107.2513564,-106.7956132,-106.8380726,-105.0537168,-105.4788919,-104.8636114,-105.0514076
1.899021526,-9.458237687,-9.217139797,-9.170736428,-9.026356765,-7.70865276,-8.973325216,-8.960237566,-8.652564128,-8.544843416,-8.338136137,-8.331850548,-8.305746968,-8.379871255,-8.097348152,-8.224534492,-8.220862605,-8.176759713,-8.189022662,-8.110608068,-111.8405054,-114.3909867,-108.6853366,-111.4358013,-148.8016361,-110.6792133,-109.0567111,-109.2767291,-110.1576015,-113.0669343,-110.7450887,-110.6917871,-109.9414174,-109.4453979,-109.5449664,-107.7760966,-108.205257,-107.5945628,-107.7754637
