"Freq [GHz]","dB(S(1,1)) [] - $eps1='1' $eps2='0'","dB(S(1,1)) [] - $eps1='2' $eps2='0.1'","dB(S(1,1)) [] - $eps1='3' $eps2='0.2'","dB(S(1,1)) [] - $eps1='4' $eps2='0.3'","dB(S(1,1)) [] - $eps1='5' $eps2='0.6'","dB(S(1,1)) [] - $eps1='6' $eps2='0.9'","dB(S(1,1)) [] - $eps1='7' $eps2='1.1'","dB(S(1,1)) [] - $eps1='8' $eps2='1.4'","dB(S(1,1)) [] - $eps1='9' $eps2='1.8'","dB(S(1,1)) [] - $eps1='10' $eps2='2.1'","dB(S(1,1)) [] - $eps1='11' $eps2='2.5'","dB(S(1,1)) [] - $eps1='12' $eps2='2.8'","dB(S(1,1)) [] - $eps1='13' $eps2='3.1'","arg(S(1,1)) [deg] - $eps1='1' $eps2='0'","arg(S(1,1)) [deg] - $eps1='2' $eps2='0.1'","arg(S(1,1)) [deg] - $eps1='3' $eps2='0.2'","arg(S(1,1)) [deg] - $eps1='4' $eps2='0.3'","arg(S(1,1)) [deg] - $eps1='5' $eps2='0.6'","arg(S(1,1)) [deg] - $eps1='6' $eps2='0.9'","arg(S(1,1)) [deg] - $eps1='7' $eps2='1.1'","arg(S(1,1)) [deg] - $eps1='8' $eps2='1.4'","arg(S(1,1)) [deg] - $eps1='9' $eps2='1.8'","arg(S(1,1)) [deg] - $eps1='10' $eps2='2.1'","arg(S(1,1)) [deg] - $eps1='11' $eps2='2.5'","arg(S(1,1)) [deg] - $eps1='12' $eps2='2.8'","arg(S(1,1)) [deg] - $eps1='13' $eps2='3.1'"
2.24268,-1.19700585134493,-1.56388449676665,-1.86346707783044,-2.18100396099206,-2.6860556900568,-2.95108204194294,-3.06694256465701,-3.23369862268376,-3.37972754066912,-3.49898139961885,-3.53249314234513,-3.54024645552742,-3.60018600824251,-20.4142853154463,-24.6934543172907,-30.0996020206556,-34.4162131537029,-34.7963751234116,-34.2790866880201,-35.0019112414728,-35.622359350588,-35.1985445284285,-34.9203796669484,-33.5264920175793,-33.5820658064579,-33.0384873338571
2.2505,-1.21560940325938,-1.59252235333058,-1.90088642667822,-2.24411284229727,-2.76179928815692,-3.01824202703573,-3.13838614405773,-3.3168022604874,-3.46416235677764,-3.57933217800325,-3.60941214919579,-3.6139068669411,-3.67638722958351,-21.1063761267707,-25.4175430071409,-30.9315535871026,-35.338821614157,-35.5581392486772,-35.0014048926851,-35.769946977671,-36.3636195863348,-35.8582333093968,-35.5186132656993,-34.0561991451073,-34.1089814035013,-33.5513866291608
2.25832,-1.2349330602123,-1.62222822898443,-1.94005547128929,-2.31054572785378,-2.83993514912604,-3.08743234866343,-3.2129081687468,-3.40320162420571,-3.55099290672565,-3.66142305119655,-3.68755703538775,-3.68925099638227,-3.75465447341579,-21.8058922195446,-26.1497481626754,-31.7761050459483,-36.2719962446647,-36.3207502293896,-35.7310854169283,-36.545470607137,-37.1050067300477,-36.5144130165982,-36.1144530294832,-34.5839850132206,-34.6339578117675,-34.0555049356053
2.26614,-1.25500971751279,-1.65304894896511,-1.98106661071817,-2.38046209090912,-2.92048835398717,-3.15877421932019,-3.29067150947055,-3.49296857694127,-3.640225918379,-3.74529198401249,-3.76702216196626,-3.76635373802308,-3.83480109296438,-22.5130988025725,-26.8903554874767,-32.6336612298969,-37.2156266195086,-37.0841680636951,-36.4684618510866,-37.3282037045005,-37.8458537106547,-37.1668596499017,-36.7079120108046,-35.1099307727209,-35.1559478329206,-34.548935328969
2.27396,-1.27587371682695,-1.68503369578351,-2.02401760588932,-2.45402688276684,-3.00348518429862,-3.23239821802588,-3.37184280099594,-3.58616988959755,-3.73186997717697,-3.83098103280789,-3.8479051578844,-3.84524872030866,-3.91657169978276,-23.2282687014771,-27.6396578822013,-33.5046368763337,-38.1695568371142,-37.8483857412879,-37.213848949969,-38.1178039715722,-38.5854723243465,-37.8153734413371,-37.2989731966711,-35.6339704647175,-35.6737786745183,-35.0300811787071
2.28178,-1.29756093899499,-1.71823413555504,-2.06901194756688,-2.53141029608355,-3.08895393495066,-3.30844455560054,-3.45659195969935,-3.6828671071264,-3.82593631802665,-3.91853537069787,-3.93030144562423,-3.9259238694138,-3.9996549612941,-23.9516826854179,-28.3979556958843,-34.3894565705759,-39.133581830649,-38.6134316571574,-37.9675387570637,-38.9138616170203,-39.3231577706758,-38.4597767413813,-37.8875849600072,-36.1558869110074,-36.1862219548819,-35.4977534497819
2.2896,-1.32010890139959,-1.75270455171925,-2.11615924653722,-2.61278746061209,-3.17692581074796,-3.38706333019607,-3.54509163311802,-3.78311652829886,-3.9224395698505,-4.00800216339032,-4.01429861233418,-4.00831975453521,-4.0836992719708,-24.6836298012885,-29.1655569864711,-35.2885546122901,-40.1074437396591,-39.3793715550083,-38.7297965303404,-39.7158959096392,-40.0581934233413,-39.0999110472765,-38.4736579251977,-36.675316672855,-36.6920689948777,-35.9512438485594
2.29742,-1.34355686018157,-1.78850198664011,-2.16557564671978,-2.69833806810104,-3.26743590066373,-3.46841477279257,-3.63751658175425,-3.88696930957284,-4.0213984306242,-4.09942934016026,-4.09997099586925,-4.09233077117285,-4.16833027914939,-25.4244077164748,-29.9427777927782,-36.2023747978718,-41.0908284163022,-40.1463099305914,-39.5008564563471,-40.5233519762802,-40.7898557215611,-39.7356332238411,-39.0570634844666,-37.1917642316665,-37.1902064688233,-36.3903704669529
2.30524,-1.3679459176063,-1.82568639163926,-2.2173842618623,-2.78824592441739,-3.36052422223176,-3.55266948209676,-3.7340429953546,-3.99447170084723,-4.12283625196747,-4.19286431329624,-4.18737484680891,-4.17780902799065,-4.25316915094565,-26.174323070387,-30.7299424174828,-37.1313701109737,-42.0833621486788,-40.9143908304448,-40.2809171377602,-41.3355979232829,-41.5174190486779,-40.3668109921212,-39.6376341392733,-37.7046248382461,-37.6796877690981,-36.8154943190025
2.31306,-1.39331913491056,-1.8643207860365,-2.27171563647907,-2.88269842872192,-3.45623682755961,-3.64000864795166,-3.83484774790187,-4.10566541760517,-4.2267815138637,-4.28835270601236,-4.2765443874221,-4.26457064151683,-4.33785044726237,-26.9336918360183,-31.5273837232193,-38.0760023138865,-43.0846086956738,-41.6837979916127,-41.0701368380374,-42.151922361702,-42.2401604535815,-40.9933177843505,-40.2151657597331,-38.2132148411095,-38.1597959778393,-37.2275071285038
2.32088,-1.41972165096225,-1.90447142583962,-2.3287082316168,-2.98188598180656,-3.55462696161022,-3.73062426196811,-3.94010759820775,-4.22058815014991,-4.33326817251329,-4.38593715238974,-4.36748902365312,-4.3524040116317,-4.42203851666346,-27.7028396920873,-32.3354434418613,-39.0367414328247,-44.0940667369667,-42.4547542756116,-41.8686284659197,-42.9715324182524,-42.9573640597224,-41.6150270891087,-40.7894217670249,-38.7168077982477,-38.6300950606178,-37.6277927631877
2.3287,-1.44720080708749,-1.94620798273703,-2.38850893605386,-3.08600132835998,-3.65575626287402,-3.82471931368612,-4.04999834555793,-4.33927420657904,-4.44233586697294,-4.48565623283251,-4.46019188600813,-4.44107955157866,-4.50544150140044,-28.4821024064985,-33.1544724994268,-40.0140651301958,-45.111167851132,-43.2275203610961,-42.6764542820227,-43.7935523128522,-43.6683250037631,-42.2318064301507,-41.3601391465264,-39.2146743333008,-39.0904667698061,-38.0181665916714
2.33652,-1.47580627841029,-1.98960373412795,-2.45127360342426,-3.19523884111687,-3.75969599636752,-3.92250797023652,-4.16469395289223,-4.46175528190245,-4.55402997385338,-4.58754360515678,-4.55460978818002,-4.53036028184732,-4.58782227999355,-29.2718262320572,-33.984831356649,-41.0084579579255,-46.1352751402514,-44.0023926705553,-43.4936203105271,-44.6170225778408,-44.3723527463868,-42.8435111441008,-41.927036107117,-39.7061235169026,-39.541131727725,-38.400798502088
2.34434,-1.50559021211681,-2.03473576497325,-2.51716761582954,-3.3097937585456,-3.86652830911276,-4.0242157370608,-4.28436565292639,-4.58806134157151,-4.66840150342747,-4.6916273843632,-4.65067460550084,-4.62001267160497,-4.66900598336936,-30.0723683154048,-34.8268903681609,-42.0204104875049,-47.1656826251613,-44.7797005166092,-44.3200704388073,-45.4408999850916,-45.0687736039769,-43.4499781386017,-42.4898211145254,-40.1905435353741,-39.9826542090358,-38.7781261543307
2.35216,-1.53660737298734,-2.08168518228575,-2.58636647440703,-3.42986139180792,-3.97634749872479,-4.13007959700308,-4.40918105579093,-4.71822160376543,-4.7855068354824,-4.79792981445892,-4.7482959943614,-4.70981712808156,-4.748884045425,-30.8840971199016,-35.681030161092,-43.0504183124613,-48.2016155338538,-45.5598024645898,-45.1556801900488,-46.2640582341564,-45.7569323629154,-44.0510198274652,-43.0482029550875,-40.6674395238341,-40.4159311956991,-39.1527651260059
2.35998,-1.56891529663605,-2.13053734317719,-2.65905641739118,-3.55563632120087,-4.08926128670299,-4.24034812488643,-4.53930327948428,-4.85226560129401,-4.90540729866465,-4.9064672632514,-4.84736530248908,-4.79957759346672,-4.82741504676593,-31.7073928640195,-36.5476420360559,-44.0989809227288,-49.2422316031885,-46.3430819184995,-46.0002501550883,-47.0852894348663,-46.4361928530613,-44.6464184459936,-43.6019014296944,-41.1364666766854,-40.8421672543681,-39.5274219728803
2.3678,-1.60257445084109,-2.18138209740619,-2.73543506623482,-3.68731160711007,-4.20539208930095,-4.35528157460294,-4.67489012721214,-4.99022430098753,-5.02816860341368,-5.01725055763026,-4.94776046109838,-4.88912980661325,-4.90462284280549,-32.5426479759611,-37.4271283922457,-45.1666004515275,-50.2866235048735,-47.1299419448464,-46.8534990725,-47.9033063956491,-47.1059373780859,-45.2359209532699,-44.1506582437768,-41.5974570746187,-41.2628376026233,-39.9048150054111
2.37562,-1.63764840540109,-2.23431404549019,-2.81571210042942,-3.82507804544313,-4.32487828045737,-4.47515193591757,-4.81609333766933,-5.13213125614131,-5.15386014491293,-5.1302856621611,-5.04935160601928,-4.97834791364202,-4.98059260854808,-33.3902675664147,-38.3199031802576,-46.2537802989668,-51.3338224914205,-47.9207993572075,-47.7150565476434,-48.7167456994396,-47.7655649225264,-45.8192347203391,-44.6942476464395,-42.0504390683081,-41.6796423072556,-40.2876060080441
2.38344,-1.67420401094142,-2.28943281346783,-2.90010996183716,-3.96912350251462,-4.44787544326131,-4.60024295842475,-4.96305793585228,-5.27802376586941,-5.2825541991394,-5.24557468969824,-5.15200714723544,-5.06714925412981,-5.05546547559349,-34.2506699205533,-39.2263923854329,-47.3610236403588,-52.3828033376673,-48.716078089373,-48.5844554045369,-49.5241715154624,-48.4144880804454,-46.3960241873762,-45.2324863811969,-42.4956485042628,-42.0944548505134,-40.6783444726846
2.39126,-1.71231158710229,-2.34684334553049,-2.9888645896,-4.11963236915729,-4.57455760863517,-4.73085014077461,-5.11592171249975,-5.42794401412615,-5.41432504152609,-5.36311721929803,-5.25559999635328,-5.15549729236791,-5.12943239125117,-35.1242870116536,-40.1470345459521,-48.4888318326638,-53.4324906260415,-49.516201886408,-49.4611236658656,-50.3240800580991,-49.0521286748309,-46.9659086478592,-45.7652425414679,-42.9335315480271,-42.50926828918,-41.0794244274742
2.39908,-1.75204512056251,-2.40665621581554,-3.08222618698687,-4.27678517843688,-4.70511848238553,-4.86728068402239,-5.27481485989613,-5.58194016080641,-5.54924802321688,-5.4829118849055,-5.36001366915064,-5.24340279094688,-5.2027277184779,-36.0115650381332,-41.082281310474,-49.6377027371793,-54.4817663891393,-50.3215863438774,-50.3443761576834,-51.1149045641979,-49.6779120636868,-47.5284612808409,-46.2924429724904,-43.3647393182478,-42.9261419504531,-41.4930527976473
2.4069,-1.79348247332774,-2.46898796072641,-3.18046002208085,-4.44075843522423,-4.83977266449658,-5.00985340919896,-5.43985979009393,-5.7400673572586,-5.68739864465237,-5.6049581888544,-5.46514800497448,-5.33092342480769,-5.27562294810503,-36.9129649866594,-42.0325980406445,-50.8081289850573,-55.5294790842499,-51.1326303223654,-51.2334057356292,-51.8950206162,-50.2912601520217,-48.0832095081866,-46.8140789258511,-43.790114967286,-43.3471511117249,-41.9212275403893
2.41472,-1.83670560173222,-2.53396143331032,-3.28384726484486,-4.61172470925912,-4.97875686729329,-5.15889864064981,-5.61117115875901,-5.90238865919311,-5.82885166934896,-5.72925848706909,-5.57092428386663,-5.41816210033434,-5.34842074202693,-37.8289632242928,-42.9984644649529,-52.0005962191776,-56.5744538268335,-51.9497067573903,-52.127274126587,-52.6627515976799,-50.8915831551825,-48.6296367010755,-47.3302097471087,-44.2106742009855,-43.774341491352,-42.3657235513965
2.42254,-1.88180078660183,-2.60170618127016,-3.39268586399276,-4.78985304564586,-5.12233114211535,-5.31475805857952,-5.78885611367203,-6.06897581089949,-5.97368032220581,-5.85582008889549,-5.67728957235298,-5.50526427443024,-5.42144939258455,-38.7600521235445,-43.9803753920231,-53.2155813572511,-57.6155037613406,-52.7731528761966,-53.0249023755475,-53.41637402615,-51.4782701799331,-49.1671852035835,-47.8409644595987,-44.6275804960706,-44.2096897143796,-42.8280844797222
2.43036,-1.92885887499465,-2.67235885038659,-3.50729146828562,-4.97530974822276,-5.27078012715382,-5.47778452637192,-5.97301478152565,-6.23990987620403,-6.12195561642674,-5.98465741332646,-5.7842201855055,-5.59241456632989,-5.49505768687543,-39.7067407235345,-44.978841492546,-54.453550932062,-58.6514423930214,-53.6032598194265,-53.9250608783743,-54.1541224707101,-52.0506787165261,-49.6952605808495,-48.3465411905032,-45.0421164373177,-44.6550703066382,-43.3096189973412
2.43818,-1.97797553396077,-2.74606361522197,-3.62799839837192,-5.16825959149817,-5.42441433236357,-5.6483419008742,-6.16374100014259,-6.4152816934267,-6.27374585075707,-6.11579414494229,-5.89172421113132,-5.67983292724741,-5.56961011223588,-40.6695554335089,-45.9943901608133,-55.7149595792387,-59.6810966486018,-54.4402616500638,-54.8263589676744,-54.8741937291527,-52.6081231526539,-50.2132369416549,-48.8472044658493,-45.4556526537141,-45.1122292598902,-43.8114006062633
2.446,-2.029251516712,-2.82297263914138,-3.7551606772338,-5.36886751630271,-5.58357148062731,-5.82680483651624,-6.36112329576103,-6.59519213434087,-6.42911631475718,-6.24926533748901,-5.99984309697784,-5.7677705897622,-5.64548232969357,-41.6490407833693,-47.0275664693552,-57.0002487583478,-60.7033203808993,-55.2843237114826,-55.727233999949,-55.5747499138305,-53.1498624452916,-50.7204631297402,-49.3432804770852,-45.8696157856563,-45.582763850201,-44.3342706060989
2.45382,-2.08279294158576,-2.90324656589844,-3.88915312976528,-5.57730086264489,-5.7486179279681,-6.01355859730266,-6.56524609704636,-6.77975215011275,-6.58812923413731,-6.38511941932252,-6.10865234978593,-5.85650596948438,-5.72305686771039,-42.6457602288496,-48.0789342324312,-58.3098458134729,-61.7170079775175,-56.1355302740252,-56.6259398644331,-56.2539200756953,-53.6750871027238,-51.21626953009,-49.8351504837987,-46.2854567859534,-46.06810817535,-44.878844283185
2.46164,-2.13871158416622,-2.98705504519377,-4.03037256512783,-5.79373219114667,-5.9199501895127,-6.20899889372607,-6.7761911689136,-6.96908259127091,-6.7508439810991,-6.52342006349284,-6.21826143282614,-5.94634064480902,-5.8027190371599,-43.6602970192473,-49.1490771977686,-59.6441635004575,-62.7211076879991,-56.9938713808597,-57.5205347980866,-56.909799984744,-54.1829056462814,-51.6999751965407,-50.3232425704644,-46.7046206638992,-46.5695238003436,-45.4455206535381
2.46946,-2.19712518286394,-3.07457729485236,-4.1792390592779,-6.01834274200781,-6.09799660221706,-6.41353176477747,-6.99403924088709,-7.16331379340009,-6.91731756660651,-6.66424789469605,-6.32881297510108,-6.03759550262515,-5.88485312713104,-44.6932551373407,-50.2386003891657,-61.0036001341789,-63.7146342418766,-57.859228771571,-58.4088683435796,-57.5404496807936,-54.6723307317442,-52.1708949777639,-50.808022010382,-47.1285185525114,-47.0880949201264,-46.0344961696144
2.47728,-2.25815775823624,-3.16600270255548,-4.33619735995419,-6.25132657823955,-6.28321916049767,-6.62757352797006,-7.21887179626106,-7.36258492540864,-7.08760542296411,-6.80770201561056,-6.44048142046048,-6.13060711159234,-5.9698389976768,-45.7452603234492,-51.3481316279132,-62.3885405400988,-64.6966802961478,-58.7313607236087,-59.2885672260975,-58.143888408401,-55.142265115433,-52.6283463002787,-51.2899805126235,-47.5585027408126,-47.624727534295,-46.6457826929489
2.4851,-2.32193994624929,-3.2615314703182,-4.50171844208598,-6.4928954588148,-6.47611556667349,-6.8515508225467,-7.45077298044895,-7.56704310312473,-7.26176247625573,-6.95390134558082,-6.55347125009545,-6.22572437141501,-6.05804923106141,-46.8169611968486,-52.4783232658624,-63.7993580282929,-65.6664262263994,-59.609885604714,-60.1570198475516,-58.7180865540443,-55.5914876444754,-53.071655261057,-51.7696246341139,-47.9958450829199,-48.1801522315279,-47.2792297700158
2.49292,-2.38860934562598,-3.36137530526996,-4.67630124887237,-6.743284488089,-6.67722154540475,-7.0859007723516,-7.6898315793584,-7.77684227661309,-7.43984449981684,-7.10298577459151,-6.66801490887919,-6.32330548395054,-6.14984703007149,-47.9090304909245,-53.6298541701384,-65.2364176513527,-66.6231477614972,-60.4942638738056,-61.011359001662,-59.2609542071996,-56.0186394371428,-53.500161687357,-52.247463631989,-48.4417189979359,-48.7549302712372,-47.9345508706595
2.50074,-2.45831087934186,-3.46575816071436,-4.86047466231757,-7.0027585913069,-6.88711347977393,-7.3310712946067,-7.9361430110583,-7.99214190537728,-7.62190973199132,-7.25511714513273,-6.78437055800738,-6.42371529747378,-6.24558505769535,-49.0221664213357,-54.8034320076176,-66.7000810557284,-67.566220951689,-61.3837781974992,-61.848442294228,-59.770325968243,-56.4222103922553,-53.913222836336,-52.7239970125674,-48.8971851082986,-49.3494627018799,-48.6113528034734
2.50856,-2.53119717020981,-3.57491703184908,-5.05479975764843,-7.27161987393271,-7.10641143731716,-7.58752157873375,-8.18981126670553,-8.21310544028602,-7.80802073475787,-7.4104800829502,-6.90281976523298,-6.52732308480341,-6.34560539440902,-50.1570942096815,-55.9997958864891,-68.190713296019,-68.4951239615238,-62.2775112627052,-62.6648296083708,-60.2439416189768,-56.8005261281342,-54.3102154307736,-53.199702002949,-49.3631804407871,-49.9640022528631,-49.309167056146
2.51638,-2.60742893039124,-3.68910281115248,-5.259872408705,-7.55021593573391,-7.33578266728193,-7.85572275412704,-8.45095072790775,-8.4398986345395,-7.99824646424124,-7.56928270535094,-7.0236652323764,-6.63450082540662,-6.45024074739606,-51.3145677896129,-57.2197194246428,-69.7086920531825,-69.4094351781644,-63.1743207540271,-63.4567567783373,-60.6794222565142,-57.1517354007081,-54.6905357589819,-53.6750211359543,-49.8405110227075,-50.5986676822212,-50.0274813641704
2.5242,-2.68717536451151,-3.80858120899401,-5.47632632691083,-7.83894923161739,-7.57594566643595,-8.13615875668424,-8.71968777772763,-8.67268770769788,-8.19266452021687,-7.73175724218497,-7.14722864903249,-6.74562206757079,-6.55981698040785,-52.4953717272498,-58.4640143284416,-71.2544197860669,-70.3088271248512,-64.0728108212456,-64.2201044203826,-61.0742414614846,-57.4737979894625,-55.0535975998755,-54.1503500930119,-50.3298476436759,-51.2534601572431,-50.765769432221
2.53202,-2.77061458587568,-3.93363374578237,-5.70483663498673,-8.13828760150807,-7.82767493058484,-8.42932738907963,-8.99616210896888,-8.91163738583489,-8.39136353938057,-7.89816061017324,-7.27384875242283,-6.86106144632095,-6.67465694501411,-53.7003233927777,-59.7335345821163,-72.8283394557146,-71.1930556575176,-64.9712991762725,-64.9503606105356,-61.4256910295299,-57.7644729693522,-55.398827772233,-54.6260259041253,-50.8317245082501,-51.9282811054127,-51.5235164637967
2.53984,-2.85793404506471,-4.06455882284885,-5.94612409929104,-8.44877613484738,-8.09180653325375,-8.73574154731981,-9.28052761567984,-9.15690883736374,-8.59444569663405,-8.06877498605166,-7.40387966657033,-6.98119492432419,-6.79508548689148,-54.9302754281552,-61.029181369576,-74.4309546011682,-72.0619438912038,-65.8677787108326,-65.6425757831154,-61.7308407389278,-58.021307211163,-55.7256591399576,-55.1023155518781,-51.3465404695143,-52.6229508170753,-52.3002380541792
2.54766,-2.94933096991985,-4.20167288013495,-6.20096017211876,-8.77105059413446,-8.36924470312369,-9.05593055299009,-9.57295272917429,-9.40865751695101,-8.802029279553,-8.24390842788794,-7.53768958875268,-7.10640080538869,-6.9214353804023,-56.1861185621297,-62.3519088745427,-76.0628547243052,-72.9153602359839,-66.7598722028584,-66.291307843558,-61.9864915592333,-58.2416238727176,-56.0335209353265,-55.5794049726456,-51.8745624974628,-53.3372269255521,-53.0954901192401
2.55548,-3.04501281561209,-4.34531164999822,-6.47017302886931,-9.10585270197646,-8.66096960843952,-9.3904414823787,-9.87362002723173,-9.66703091931003,-9.01425130397951,-8.42389559779234,-7.6756598873076,-7.23706154313378,-7.0540538210329,-57.4687848343097,-63.7027311350618,-77.7247471759476,-73.7531898078808,-67.6447782402045,-66.890555026228,-62.1891216349318,-58.4225105681223,-56.3218262844441,-56.0573883934264,-52.4159309980457,-54.0708217627794,-53.9088679260016
