Freq [GHz],"dB(S(2,1)) [] - $eps1='1' $eps2='0'","dB(S(2,1)) [] - $eps1='2' $eps2='0.1'","dB(S(2,1)) [] - $eps1='3' $eps2='0.2'","dB(S(2,1)) [] - $eps1='4' $eps2='0.3'","dB(S(2,1)) [] - $eps1='5' $eps2='0.6'","dB(S(2,1)) [] - $eps1='6' $eps2='0.9'","dB(S(2,1)) [] - $eps1='7' $eps2='1.1'","dB(S(2,1)) [] - $eps1='8' $eps2='1.4'","arg(S(2,1)) [deg] - $eps1='1' $eps2='0'","arg(S(2,1)) [deg] - $eps1='2' $eps2='0.1'","arg(S(2,1)) [deg] - $eps1='3' $eps2='0.2'","arg(S(2,1)) [deg] - $eps1='4' $eps2='0.3'","arg(S(2,1)) [deg] - $eps1='5' $eps2='0.6'","arg(S(2,1)) [deg] - $eps1='6' $eps2='0.9'","arg(S(2,1)) [deg] - $eps1='7' $eps2='1.1'","arg(S(2,1)) [deg] - $eps1='8' $eps2='1.4'"
1.94442270058708,-27.0691503098291,-32.362628880209,-35.2021275564713,-39.7072336360757,-51.1178726991078,-60.0180213872273,-63.3504302112671,-69.1551053617512,0.271896949836784,127.908563921723,46.4229468349838,-5.38250481486135,18.0753057904029,88.2210471403784,173.249816304111,-68.1121739969748
1.95009784735812,-27.1546289072169,-32.4784204545807,-35.1663663093512,-39.7390290402389,-51.222004377653,-60.1661411980399,-63.5064756736272,-69.3339607877587,-6.60414070780133,119.452332892599,36.0529330418836,-16.5331297181871,6.28461246843625,75.6628335466722,159.891884294209,-81.9157869576042
1.95577299412916,-27.2343539637422,-32.5780096436938,-35.1290911446679,-39.7723144744166,-51.3229535026141,-60.311478206855,-63.6594811959327,-69.5114406263898,-13.4402317429758,111.112860710894,25.6674128715491,-27.6777592168048,-5.49914681453148,63.1143303152691,146.53857676482,-95.7162190337162
1.9614481409002,-27.3077214683117,-32.657157695602,-35.0908889582136,-39.8065548780172,-51.4207233769845,-60.4540069535593,-63.8094109182026,-69.6875354754855,-20.2379047602096,102.853891841625,15.2652533936617,-38.8076915390104,-17.2766322420836,50.5751501156733,133.189555668324,-109.514560479709
1.96712328767123,-27.3741323376695,-32.7140505582323,-35.0523798569191,-39.8407930010433,-51.5153342179975,-60.5937167474453,-63.9562448231557,-69.8622438333234,-26.999410123263,94.6324257016715,4.84668386573874,-49.9161389813536,-29.0484674261955,38.0448648335551,119.844468569134,-123.311906357881
1.97279843444227,-27.4330183944311,-32.7494022810293,-35.0141361829892,-39.8737820687176,-51.6067917638046,-60.7305841501744,-64.0999505896122,-70.0355430103502,-33.7277130035449,86.4060921566956,-5.58668649603676,-60.9989948609554,-40.8152133980444,25.5230282339094,106.502974424527,-137.109327849524
1.97847358121331,-27.4838673814599,-32.7660460718869,-34.9766063628686,-39.9041459606188,-51.6951151338435,-60.8646042283548,-64.240514749919,-70.2074201154476,-40.4264419717754,78.1395244167172,-16.0320831550189,-72.0552467292335,-52.5773810725457,13.0091757793205,93.1647324778218,-150.907876516801
1.98414872798434,-27.5262451611454,-32.768210356178,-34.9400605323407,-39.9305476345405,-51.7803008497312,-60.995757837814,-64.3779097532453,-70.3778380737991,-47.0997962704223,69.8083466408448,-26.4859720390253,-83.0870019109237,-64.3354295109991,0.502837036343845,79.8294163285311,-164.708568256516
1.98982387475538,-27.5598134614107,-32.7607252973348,-34.9045688382281,-39.9518456095596,-51.8623433516768,-61.1240343872725,-64.5121168684046,-70.5467583214865,-53.7524184546103,61.400508657532,-36.9445583413037,-94.0991310389814,-76.0898466387585,-11.9965197903829,66.4966481546823,-178.512444160059
1.99549902152642,-27.5843418856725,-32.7483404291351,-34.8700129797119,-39.9672189460448,-51.9412300786004,-61.2494275881338,-64.6431228441653,-70.7141366403432,-60.3892419730175,52.9155767410947,-47.4042583227404,-105.098579452132,-87.8410741449314,-24.4893881386416,53.1660954425613,167.679530562795
2.00117416829746,-27.5997133621209,-32.7352252871371,-34.8361213212979,-39.9762442359698,-52.0169347615061,-61.3719288121463,-64.7709134110972,-70.8799162521136,-67.0153255521867,44.3628954898488,-57.8620493867588,-116.093442897245,-99.5896379640238,-36.9763267629777,39.8373645655183,153.866360992822
2.00684931506849,-27.6059228345257,-32.7246377561113,-34.802512585035,-39.9789143713951,-52.0894275074518,-61.4915350050108,-64.8954823654302,-71.0440364225004,-73.6356873354393,35.7593624131024,-68.3156652606851,-127.091944581814,-111.336094139207,-49.4578793033101,26.5100783717195,140.047103872651
2.01252446183953,-27.6030695024646,-32.7187063684955,-34.7687352728627,-39.9755980917017,-52.1586761198357,-61.6082470952773,-65.0168305091934,-71.2064311834672,-80.2551513622568,27.1271803889585,-78.7636698205115,-138.101472471268,-123.081093529687,-61.9346183326797,13.1838320407776,126.220824297573
2.01819960861057,-27.5913436666144,-32.71827755377,-34.7342980470747,-39.9669498758161,-52.2246450938526,-61.7220648492897,-65.1349612047281,-71.3670246650211,-86.8782179364231,18.4916062092595,-89.2054792487787,-149.127826919526,-134.825372533747,-74.4071244850091,-0.141783581956205,112.386619858698
2.0238747553816,-27.5710094868341,-32.7228094069548,-34.6986952385525,-39.9537888373389,-52.2873042056103,-61.832990879276,-65.2498847865698,-71.5257356830601,-93.5089662230772,9.87851102518393,-99.6413896590264,-160.174785696799,-146.569774814835,-86.8760043576368,-13.4671982360418,98.5436052788958
2.02954990215264,-27.5423854313516,-32.7303335948654,-34.6614359143247,-39.936970052664,-52.346640203755,-61.9410375973974,-65.3616258249364,-71.6824853522507,-100.150994459317,1.3115446931714,-110.072617847433,-171.244025623475,-158.315234478684,-99.341879891663,-26.7928495975443,84.6909265812622
2.03522504892368,-27.505824233826,-32.7375429907978,-34.6220821336577,-39.9172707887751,-52.4026328608058,-62.046199439569,-65.4701951415364,-71.8371692894338,-106.807398963219,-7.19114501772623,-120.501311470335,177.664632758261,-170.062758215521,-111.805394654084,-40.1191812210017,70.8277608932603
2.04090019569472,-27.4616940930204,-32.7400794664728,-34.5802944464156,-39.8953081297242,-52.4553061890967,-62.1485009202836,-65.5756377244246,-71.9897069078989,-113.480789463207,-15.6203603820614,-130.930465469806,166.552747560134,178.186554319267,-124.267249543496,-53.4466841490974,56.953280488571
2.04657534246575,-27.4103626007504,-32.7330755617174,-34.5358754233717,-39.8714959510823,-52.5046799431736,-62.2479465453426,-65.6779822507439,-72.1399910215071,-120.173334911871,-23.9787681846635,-141.363704693331,155.422662188212,166.431639829616,-136.728117621062,-66.77580016876,43.0667465750158
