Freq [GHz],"dB(S(2,1)) [] - $eps1='1' $eps2='0'","dB(S(2,1)) [] - $eps1='2' $eps2='0.1'","dB(S(2,1)) [] - $eps1='3' $eps2='0.2'","dB(S(2,1)) [] - $eps1='4' $eps2='0.3'","dB(S(2,1)) [] - $eps1='5' $eps2='0.6'","dB(S(2,1)) [] - $eps1='6' $eps2='0.9'","dB(S(2,1)) [] - $eps1='7' $eps2='1.1'","dB(S(2,1)) [] - $eps1='8' $eps2='1.4'","dB(S(2,1)) [] - $eps1='9' $eps2='1.8'","arg(S(2,1)) [deg] - $eps1='1' $eps2='0'","arg(S(2,1)) [deg] - $eps1='2' $eps2='0.1'","arg(S(2,1)) [deg] - $eps1='3' $eps2='0.2'","arg(S(2,1)) [deg] - $eps1='4' $eps2='0.3'","arg(S(2,1)) [deg] - $eps1='5' $eps2='0.6'","arg(S(2,1)) [deg] - $eps1='6' $eps2='0.9'","arg(S(2,1)) [deg] - $eps1='7' $eps2='1.1'","arg(S(2,1)) [deg] - $eps1='8' $eps2='1.4'","arg(S(2,1)) [deg] - $eps1='9' $eps2='1.8'"
0.871819960861057,-26.1141534953901,-22.7697921440923,-23.3449727907892,-24.6117775843683,-27.8667221625032,-30.2006852165703,-30.8991511165832,-32.0699738131652,-30.0176333322822,-35.0800175930276,173.707656273397,61.2645401300769,-29.6667322048697,-105.333608646979,-176.086675953854,116.995515455899,55.0418553743095,9.58153462418138
0.877495107632094,-26.1535097113094,-22.7846121853567,-23.4199361879728,-24.7481467779488,-27.8797236578781,-30.1813965950531,-30.9207515396935,-32.0583629283776,-29.9887254741677,-40.4908513479192,167.492190122287,54.8293166915344,-36.800841983386,-112.729102135752,176.328343512322,108.586870225237,46.5804159321219,0.156769194740381
0.883170254403131,-26.1888107322438,-22.7928023618535,-23.4792772897566,-24.8792823141096,-27.8880063557207,-30.1499546971703,-30.9413336644209,-32.0337186631868,-29.9722899265758,-45.897947804757,161.253663267098,48.4321457265038,-43.7456863066582,-120.153100385962,168.682202647012,100.219948341324,38.0489228201023,-9.32095337085395
0.888845401174168,-26.2202626101394,-22.7953748474121,-23.5222633790714,-24.9972839152583,-27.8934875329893,-30.1087677136382,-30.9584869051451,-31.9989998487032,-29.9684160119643,-51.3021865834805,154.988504562924,42.0575642976071,-50.5172262347253,-127.604389784609,160.96694649492,91.8993350730514,29.4380390397902,-18.815653769418
0.894520547945205,-26.2480631349125,-22.7934012833375,-23.54852358177,-25.0960560149034,-27.8980913502923,-30.0603424202585,-30.9696619927037,-31.9572266708535,-29.9755203364788,-56.7043261041276,148.694358871116,35.6888166763818,-57.1449866896373,-135.07617882087,153.179156731165,83.6249229177551,20.7441314551374,-28.2943332809883
0.900195694716243,-26.272400737385,-22.7879788661218,-23.558117799467,-25.1716289178883,-27.9033361723101,-30.0070859394287,-30.9723682058642,-31.9112577323967,-29.9905863613555,-62.1050140758412,142.370158969577,29.3080766642325,-63.6655360341605,-142.555776949771,145.319616943193,75.3916800680514,11.9687394927876,-37.7304797645218
0.90587084148728,-26.2934535521488,-22.7801934143022,-23.551613310003,-25.2220508469639,-27.9098890731312,-29.9511532213368,-30.9643941102083,-31.8636158209074,-30.0096097915933,-67.5047987316996,136.016153766045,22.896842237811,-70.116727815367,-150.025694767097,137.392673813341,67.1898213921981,3.11779998174466,-47.1068432424541
0.911545988258317,-26.3113886680068,-22.7710808904807,-23.5301599397784,-25.2470067239607,-27.9172090017449,-29.8943431888302,-30.9440247163767,-31.8163565292997,-30.0281844070613,-72.9041406573198,129.633886826579,16.436544964195,-76.5335715183476,-157.466284086338,129.405440142642,59.0055037570154,-5.799272738606,-56.4168450248619
0.917221135029354,-26.3263615851442,-22.7615889191386,-23.495551799656,-25.247323283274,-27.9234091994826,-29.8380400586581,-30.9102158815148,-31.7709743927366,-30.0421181584148,-78.3034250968092,123.226117642381,9.90940040142107,-82.9459554562255,-164.859534943871,121.366955497794,50.8220461808107,-14.7706111059972,-65.6642968307398
0.922896281800391,-26.3385158951992,-22.7525411405284,-23.4502608558959,-25.2244862508279,-27.9254246808822,-29.7831923462266,-30.8626898145886,-31.72834691496,-30.0479573297958,-83.7029744868021,116.796689468428,3.29950247538206,-89.3780101351318,-172.193126450035,113.287389333474,42.6215159601662,-23.783008038002,-74.8615251357487
