Freq [GHz],"dB(S(2,1)) [] - $eps1='1' $eps2='0'","dB(S(2,1)) [] - $eps1='2' $eps2='0.1'","dB(S(2,1)) [] - $eps1='3' $eps2='0.2'","dB(S(2,1)) [] - $eps1='4' $eps2='0.3'","dB(S(2,1)) [] - $eps1='5' $eps2='0.6'","dB(S(2,1)) [] - $eps1='6' $eps2='0.9'","dB(S(2,1)) [] - $eps1='7' $eps2='1.1'","dB(S(2,1)) [] - $eps1='8' $eps2='1.4'","dB(S(2,1)) [] - $eps1='9' $eps2='1.8'","dB(S(2,1)) [] - $eps1='10' $eps2='2.1'","dB(S(2,1)) [] - $eps1='21' $eps2='2.5'","dB(S(2,1)) [] - $eps1='12' $eps2='2.8'","dB(S(2,1)) [] - $eps1='13' $eps2='3.1'","arg(S(2,1)) [deg] - $eps1='1' $eps2='0'","arg(S(2,1)) [deg] - $eps1='2' $eps2='0.1'","arg(S(2,1)) [deg] - $eps1='3' $eps2='0.2'","arg(S(2,1)) [deg] - $eps1='4' $eps2='0.3'","arg(S(2,1)) [deg] - $eps1='5' $eps2='0.6'","arg(S(2,1)) [deg] - $eps1='6' $eps2='0.9'","arg(S(2,1)) [deg] - $eps1='7' $eps2='1.1'","arg(S(2,1)) [deg] - $eps1='8' $eps2='1.4'","arg(S(2,1)) [deg] - $eps1='9' $eps2='1.8'","arg(S(2,1)) [deg] - $eps1='10' $eps2='2.1'","arg(S(2,1)) [deg] - $eps1='21' $eps2='2.5'","arg(S(2,1)) [deg] - $eps1='12' $eps2='2.8'","arg(S(2,1)) [deg] - $eps1='13' $eps2='3.1'"
2.17,-9.21691428958807,-5.90085936343221,-3.95870675414968,-3.50574029103788,-4.00678223750008,-5.76781126586407,-5.71241406991374,-6.9121931192774,-7.21075871662777,-8.02664742662277,-8.16987726338039,-7.82273384869196,-8.33938206442639,-136.401897351393,-118.331490003537,-127.12801388753,-137.284660702677,-144.387445876539,-155.163109488601,-155.935581619115,-154.921315167837,-156.316774268523,-157.537458835176,-159.917512253555,-159.95531996243,-161.741173092759
2.18,-9.12288319418361,-5.73308250377719,-3.88921716668303,-3.49828731411572,-4.03144168279577,-5.8586673887895,-5.80663450886592,-7.01871620772008,-7.32040112056815,-8.15204232328848,-8.31560395549399,-7.98140179547372,-8.5263878916773,-138.754944652679,-122.662101728109,-131.723009354598,-141.898452486085,-148.851218399122,-159.380522460348,-160.06101477108,-158.888753614326,-160.229038890806,-161.341334670514,-163.7237040645,-163.838886148944,-165.521473780151
2.19,-9.01441937007007,-5.57484541219542,-3.82539001860758,-3.49479135577438,-4.06002053258777,-5.95507512104256,-5.90505746598453,-7.12783530783507,-7.4339374888824,-8.28176043273678,-8.46843609009835,-8.14720506057005,-8.71999234076501,-141.173157326239,-126.998853281623,-136.298733999346,-146.491486110468,-153.298130958681,-163.562270945714,-164.148226605075,-162.819806491944,-164.104046482271,-165.093416536599,-167.468735710027,-167.648839335873,-169.203477275456
2.2,-8.89338160061854,-5.42574530195577,-3.76703528100815,-3.49522511895098,-4.09262569866734,-6.05710513792357,-6.00761236841429,-7.23962782663391,-7.55148579900162,-8.4156968426995,-8.62821831535087,-8.31962380369087,-8.91922116799834,-143.665105556845,-131.339389225406,-140.856011490362,-151.064876195224,-157.729142282282,-167.707873442634,-168.197556610435,-166.715109319427,-167.940872232153,-168.791246845147,-171.147747464908,-171.379701302419,-172.781960068982
2.21,-8.76168680955221,-5.285393986077,-3.71397820601256,-3.49956776232627,-4.12936958422749,-6.16480828990217,-6.11421907820146,-7.35417896162765,-7.67313717039035,-8.5536759211421,-8.79466642301191,-8.4979992881287,-9.12299924057552,-146.23720915237,-135.681804011771,-145.395776585888,-155.619794724789,-162.145201022325,-171.816768783366,-172.209458262724,-170.575192638386,-171.738433559804,-172.432323470613,-174.755772632935,-175.026368098538,-176.252331272393
2.22,-8.62124610404381,-5.1534188166143,-3.66605875573891,-3.50780508781408,-4.17036970438223,-6.27821250441112,-6.22479058460411,-7.47157812384679,-7.79895158846403,-8.69544590678807,-8.96735881358899,-8.68154412485057,-9.33015511103998,-148.893845223868,-140.024589737276,-149.919061398579,-160.157465977151,-166.547237233725,-175.888316148508,-176.184500954946,-174.400459958468,-175.49549451708,-176.014149784317,-178.287847730644,-178.584214786164,-179.610567230974
2.23,-8.47391142513025,-5.02946321995518,-3.62313104906234,-3.51992980430156,-4.21574829351652,-6.39731949245889,-6.33923592296772,-7.59191492502748,-7.92895340990276,-8.84067434053819,-9.14573066709424,-8.86935322850774,-9.53941273061922,-151.637532418021,-144.366590260187,-154.426982553703,-164.679160961744,-170.936153945786,-179.921798930419,179.876631771298,-178.191169385997,-179.210673002903,-179.534294039207,178.260865929915,177.950829559926,177.146844717906
2.24,-8.32143409404894,-4.9131869332529,-3.58506282054302,-3.53594184117332,-4.26563189253827,-6.52210134156323,-6.45746317753524,-7.71527481036649,-8.06312663024985,-8.9889446355157,-9.32907088037575,-9.06041318018622,-9.74937108412686,-154.46916428863,-148.706960778351,-158.920729171418,-169.186191325351,-175.3128187777,176.083566982031,175.973148136483,178.052580847415,177.11754846333,177.009542224213,174.894953335436,174.58223190842,174.022906470369
2.25,-8.16543522257268,-4.80426602052089,-3.55173488723341,-3.55584868548666,-4.32015090725926,-6.65249710880122,-6.57938240739305,-7.84173440894891,-8.2014099299173,-9.13975409089051,-9.51652160460833,-9.25360816652844,-9.9584758374275,-157.388266777097,-153.045132088623,-163.401551601647,-173.679902690956,-179.678055547312,172.128620004687,172.104158400836,174.330862843661,173.490807525842,173.619447450098,171.618612743108,171.312818346155,171.020008380623
2.26,-8.00738700473909,-4.70239272594648,-3.52304061920923,-3.57966571816112,-4.37943912767191,-6.78840955366465,-6.7049083279045,-7.97135665997205,-8.34369155543975,-9.29251365300401,-9.70708007925487,-9.44772166218097,-10.1649903362552,-160.393259217039,-157.380778878811,-167.870750853943,-178.161667432148,175.967364182132,168.214234381916,168.268689467408,170.643925437612,169.910841378257,170.297216076128,168.435520027521,168.144732306227,168.139693752338
