"Freq [GHz]","dB(S(2,1)) [] - $eps1='4' $eps2='0.3'","dB(S(2,1)) [] - $eps1='4.5' $eps2='0.35'","dB(S(2,1)) [] - $eps1='5' $eps2='0.6'","dB(S(2,1)) [] - $eps1='5.5' $eps2='0.75'","dB(S(2,1)) [] - $eps1='6' $eps2='0.9'","dB(S(2,1)) [] - $eps1='6.5' $eps2='1'","dB(S(2,1)) [] - $eps1='7' $eps2='1.1'","dB(S(2,1)) [] - $eps1='7.5' $eps2='1.25'","dB(S(2,1)) [] - $eps1='8' $eps2='1.4'","dB(S(2,1)) [] - $eps1='8.5' $eps2='1.6'","dB(S(2,1)) [] - $eps1='9' $eps2='1.8'","dB(S(2,1)) [] - $eps1='9.5' $eps2='1.95'","dB(S(2,1)) [] - $eps1='10' $eps2='2.1'","dB(S(2,1)) [] - $eps1='10.5' $eps2='2.3'","dB(S(2,1)) [] - $eps1='11' $eps2='2.5'","dB(S(2,1)) [] - $eps1='11.5' $eps2='2.65'","dB(S(2,1)) [] - $eps1='12' $eps2='2.8'","dB(S(2,1)) [] - $eps1='12.5' $eps2='2.95'","dB(S(2,1)) [] - $eps1='13' $eps2='3.1'","arg(S(2,1)) [deg] - $eps1='4' $eps2='0.3'","arg(S(2,1)) [deg] - $eps1='4.5' $eps2='0.35'","arg(S(2,1)) [deg] - $eps1='5' $eps2='0.6'","arg(S(2,1)) [deg] - $eps1='5.5' $eps2='0.75'","arg(S(2,1)) [deg] - $eps1='6' $eps2='0.9'","arg(S(2,1)) [deg] - $eps1='6.5' $eps2='1'","arg(S(2,1)) [deg] - $eps1='7' $eps2='1.1'","arg(S(2,1)) [deg] - $eps1='7.5' $eps2='1.25'","arg(S(2,1)) [deg] - $eps1='8' $eps2='1.4'","arg(S(2,1)) [deg] - $eps1='8.5' $eps2='1.6'","arg(S(2,1)) [deg] - $eps1='9' $eps2='1.8'","arg(S(2,1)) [deg] - $eps1='9.5' $eps2='1.95'","arg(S(2,1)) [deg] - $eps1='10' $eps2='2.1'","arg(S(2,1)) [deg] - $eps1='10.5' $eps2='2.3'","arg(S(2,1)) [deg] - $eps1='11' $eps2='2.5'","arg(S(2,1)) [deg] - $eps1='11.5' $eps2='2.65'","arg(S(2,1)) [deg] - $eps1='12' $eps2='2.8'","arg(S(2,1)) [deg] - $eps1='12.5' $eps2='2.95'","arg(S(2,1)) [deg] - $eps1='13' $eps2='3.1'"
1.54148727984344,-12.0936530940155,-12.9860618100901,-15.0709946857779,-16.4557586242524,-17.3646667560268,-17.7681865146183,-17.9691055049697,-18.2851490275734,-18.621369969925,-18.8960926724215,-18.7440307940795,-18.7165178907359,-18.7169713497959,-17.6381960066597,-16.3475102226872,-16.1456973761682,-15.9851378209008,-15.8948903198081,-15.8330577888306,-40.2926125242814,-64.1705773646256,-82.577601070901,-99.0479207265551,-112.997711925085,-127.916119252738,-143.181691265702,-159.374183649737,-175.197510367513,171.285034685048,157.692365311314,145.282513104869,131.44429983981,126.314985880071,126.038915671752,118.176365842581,111.819316806071,104.430302386266,98.5386952670209
1.54716242661448,-12.0886105007387,-12.973743304749,-15.0892236859378,-16.4833261992196,-17.3610194402875,-17.7537323529678,-17.9636158807427,-18.2935524867753,-18.6424946246856,-18.9290814453405,-18.7919995609768,-18.781656874357,-18.8003967526553,-17.7278922753802,-16.4319874457905,-16.2399295860845,-16.0900555344027,-16.0159853644131,-15.9720627113359,-46.4689081250744,-70.5763989729368,-89.0765189764091,-105.403659770484,-119.362671524302,-134.489796538888,-149.935420011279,-166.211929095491,177.890698835475,164.311789757576,150.641562456944,138.188106084089,124.283732133666,119.034481266553,118.634620681882,110.69764428333,104.274012325289,96.7971431522376,90.8421500536016
1.55283757338552,-12.0827731195672,-12.9654240265009,-15.1129099196617,-16.511456801077,-17.357115329007,-17.7415190416343,-17.9616556003741,-18.3050143635476,-18.6664578245693,-18.9651023726591,-18.8432391291692,-18.8504000426147,-18.8882158891276,-17.8227671551871,-16.5219199825838,-16.3407876094274,-16.2031522802725,-16.1475995864876,-16.1231960260748,-52.6690639098114,-77.0036018586674,-95.5688440976582,-111.736811248982,-125.735820589256,-141.076192066489,-156.693537376045,-173.048149220293,170.980322583481,157.339893567757,143.59270951948,131.097175792007,117.127819499659,111.756775194972,111.226566184194,103.213054402281,96.7233317826702,89.1651179301649,83.1623331485342
1.55851272015656,-12.0770511989187,-12.9615665147548,-15.1419304691369,-16.5395359735979,-17.3531520740411,-17.7317343435271,-17.9632739192005,-18.3194933533604,-18.6932929231193,-19.0042434777413,-18.8979033140119,-18.9229701575351,-18.9807067029931,-17.9232217458212,-16.6179480245397,-16.4490570933045,-16.3253020615542,-16.2903215571576,-16.286166681594,-58.8941460376429,-83.4486976284394,-102.049764576628,-118.048712896013,-132.118301495437,-147.674690741148,-163.454829115393,-179.882404634932,164.071355191869,150.369354019859,136.545844221932,124.010384305527,109.97822875288,104.484288593023,103.816897405959,95.7262948165112,89.1737800058218,81.5452600092414,75.5125020242556
1.56418786692759,-12.0723342420411,-12.9625505084522,-15.1760373779465,-16.5670121812787,-17.3493357007365,-17.7245592366923,-17.9684957134565,-18.3369517088456,-18.7230502642983,-19.0466227332677,-18.9561683940878,-18.9995858695326,-19.0781145691993,-18.0295908268986,-16.7206572362361,-16.5654215389277,-16.4571208599009,-16.4442192268572,-16.460095020687,-65.1440082292433,-89.9079037004422,-108.514562200352,-124.341511952721,-138.511128532479,-154.284653307696,-170.218076342634,173.285677295286,157.163791042629,143.400289459613,129.501282153504,116.928731204012,102.837129240372,97.2200392577053,96.408771240953,88.2424292880685,81.633619510256,73.9493994817477,67.9041843720547
1.56986301369863,-12.0694612092988,-12.9686535932366,-15.2148398620038,-16.5934459381333,-17.3458851138041,-17.7201718400483,-17.9773357532918,-18.3573398423764,-18.7558012313674,-19.0923648427251,-19.0182292758123,-19.0804480124191,-19.1806151368928,-18.1421170157658,-16.830540026953,-16.6903969344036,-16.5988701532894,-16.6088311101687,-16.6436520920189,-71.4173541825935,-96.3770502405697,-114.958741446135,-130.617862072984,-144.915079062573,-160.905355495703,-176.982035731951,166.456331853958,150.257680602836,136.432920729331,122.459564600933,109.853598337238,95.7069978278443,89.9677068905568,89.0063496795186,80.7678064665167,74.1122427292918,66.3888320922613,60.3458263066111
1.57553816046967,-12.0691942125508,-12.9800498510956,-15.2578961747559,-16.6184905117603,-17.3430294299314,-17.7187508135874,-17.9898018251433,-18.3806526621857,-18.7916338817065,-19.1416122231094,-19.0842799111583,-19.1657226846653,-19.2883232406055,-18.2609343300661,-16.947979666998,-16.8242737388776,-16.7504031808591,-16.7832269456969,-16.8353041282623,-77.7119686437208,-102.851799220322,-121.378067005751,-136.880991382029,-151.330826061628,-167.535999870749,176.254485123204,159.629722039168,143.353142236879,129.467678770149,115.421576228212,102.786702617928,88.5907084659862,82.7312612370557,81.6145689756697,73.3097587269204,66.6193049810788,58.8730779649443,52.8416819045374
1.5812133072407,-12.0721962368255,-12.9968023303073,-15.3045391407512,-16.6418992733389,-17.3410052233438,-17.7204732998009,-18.0058836640559,-18.4068829260514,-18.8306556865615,-19.1945250677155,-19.1545002288194,-19.2555623301153,-19.4012698932209,-18.3860501415761,-17.0731876544708,-16.9670586327702,-16.9111724078423,-16.9661604868169,-17.0336246210967,-84.0247483421375,-109.327799535719,-127.76914607787,-143.134275572086,-157.758917824839,-174.175706231038,169.492638338815,152.806023155592,136.450418906842,122.505222504259,108.388501787661,95.7300307991751,81.4912376804833,75.5149660700036,74.2390740786155,65.8761627079967,59.1637422314759,51.4088626335893,45.3917960801213
1.58688845401174,-12.0790178537951,-13.018872977629,-15.3540691671516,-16.6635580609108,-17.3400574715461,-17.7255156169879,-18.0255676820592,-18.4360434732137,-18.8729858485483,-19.2512575863251,-19.2290605764087,-19.3500238904608,-19.5193999856529,-18.5173408743241,-17.2061951302816,-17.1184530803194,-17.0802985708573,-17.1562783060474,-17.2375942504244,-90.3519863527959,-115.800803231266,-134.129187532807,-149.38134866669,-164.19975491596,179.176493564445,162.733578171905,145.985347441702,129.549875622751,115.546396522089,101.36184016281,88.6857936402787,74.4117241421001,68.3230950808567,66.8859699728075,58.4748271654339,51.7530109334811,43.9996204083257,37.9930795993769
1.59256360078278,-12.0900848254473,-13.0461295472551,-15.4057231046415,-16.6834427679466,-17.3404513461983,-17.7340521712209,-18.0488213499797,-18.4681716379952,-18.9187545984257,-19.3119621679204,-19.3081002019962,-19.4491365588286,-19.642570258849,-18.6545524707395,-17.346810401384,-17.2778633748822,-17.2566771783574,-17.3523236808512,-17.4467708418661,-96.6893594420217,-122.266844050936,-140.456179235355,-155.625642339805,-170.653569355495,172.521684623439,155.978405696331,139.167817332839,122.652068355022,108.592350176958,94.3433318825702,81.6564351577318,67.3552101745144,61.1597053933797,59.5614485526432,51.1128481724137,44.3922234977798,36.6456955663636,30.6411761144547
